x,y,t,x_avg,y_avg
957.0,707.0,0.0,961.0,706.8
957.0,707.0,0.01,961.1,706.7333333333333
959.0,707.0,0.02,961.1666666666666,706.6333333333333
959.0,707.0,0.03,961.1666666666666,706.5333333333333
960.0,707.0,0.04,961.1666666666666,706.4333333333333
960.0,707.0,0.05,961.0666666666667,706.2666666666667
960.0,707.0,0.06,960.9666666666667,706.1
960.0,707.0,0.07,960.8666666666667,705.9333333333333
962.0,707.0,0.08,960.7333333333333,705.7333333333333
962.0,707.0,0.09,960.5333333333333,705.5333333333333
962.0,707.0,0.1,960.3333333333334,705.3333333333334
962.0,707.0,0.11,960.0666666666667,705.0666666666667
962.0,707.0,0.12,959.8,704.8
962.0,707.0,0.13,959.5333333333333,704.5333333333333
962.0,707.0,0.14,959.1666666666666,704.2333333333333
962.0,707.0,0.15,958.8,703.9333333333333
962.0,707.0,0.16,958.4333333333333,703.6333333333333
962.0,707.0,0.17,957.9333333333333,703.2333333333333
962.0,707.0,0.18,957.4333333333333,702.8333333333334
962.0,707.0,0.19,956.9333333333333,702.4333333333333
962.0,707.0,0.2,956.2666666666667,701.9333333333333
962.0,707.0,0.21,955.6,701.4333333333333
962.0,707.0,0.22,954.9333333333333,700.9333333333333
962.0,707.0,0.23,954.2666666666667,700.4333333333333
962.0,707.0,0.24,953.6,699.9333333333333
962.0,707.0,0.25,952.7333333333333,699.3333333333334
962.0,707.0,0.26,951.8666666666667,698.7333333333333
960.0,705.0,0.27,950.8666666666667,698.0333333333333
960.0,705.0,0.28,949.9333333333333,697.4
960.0,705.0,0.29,961.0,706.8
960.0,705.0,0.3,961.1,706.7333333333333
959.0,704.0,0.31,961.1666666666666,706.6333333333333
959.0,704.0,0.32,961.1666666666666,706.5333333333333
959.0,704.0,0.33,961.1666666666666,706.4333333333333
957.0,702.0,0.34,961.0666666666667,706.2666666666667
957.0,702.0,0.35,960.9666666666667,706.1
957.0,702.0,0.36,960.8666666666667,705.9333333333333
956.0,701.0,0.37,960.7333333333333,705.7333333333333
956.0,701.0,0.38,960.5333333333333,705.5333333333333
956.0,701.0,0.39,960.3333333333334,705.3333333333334
954.0,699.0,0.4,960.0666666666667,705.0666666666667
954.0,699.0,0.41,959.8,704.8
954.0,699.0,0.42,959.5333333333333,704.5333333333333
951.0,698.0,0.43,959.1666666666666,704.2333333333333
951.0,698.0,0.44,958.8,703.9333333333333
951.0,698.0,0.45,958.4333333333333,703.6333333333333
947.0,695.0,0.46,957.9333333333333,703.2333333333333
947.0,695.0,0.47,957.4333333333333,702.8333333333334
947.0,695.0,0.48,956.9333333333333,702.4333333333333
942.0,692.0,0.49,956.2666666666667,701.9333333333333
942.0,692.0,0.5,955.6,701.4333333333333
942.0,692.0,0.51,954.9333333333333,700.9333333333333
942.0,692.0,0.52,954.2666666666667,700.4333333333333
942.0,692.0,0.53,953.6,699.9333333333333
936.0,689.0,0.54,952.7333333333333,699.3333333333334
936.0,689.0,0.55,951.8666666666667,698.7333333333333
932.0,686.0,0.56,950.8666666666667,698.0333333333333
932.0,686.0,0.57,949.9333333333333,697.4
932.0,686.0,0.58,949.0,696.7666666666667
932.0,686.0,0.59,948.0666666666667,696.1333333333333
927.0,681.0,0.6,946.9666666666667,695.3333333333334
927.0,681.0,0.61,945.9,694.5666666666667
927.0,681.0,0.62,944.8333333333334,693.8
924.0,678.0,0.63,943.6666666666666,692.9333333333333
924.0,678.0,0.64,942.5666666666667,692.1333333333333
924.0,678.0,0.65,941.4666666666667,691.3333333333334
921.0,675.0,0.66,940.2666666666667,690.4333333333333
921.0,675.0,0.67,939.1,689.5666666666667
921.0,675.0,0.68,937.9333333333333,688.7
920.0,674.0,0.69,936.7333333333333,687.8
920.0,674.0,0.7,935.6,686.9666666666667
920.0,674.0,0.71,934.4666666666667,686.1333333333333
918.0,672.0,0.72,933.2666666666667,685.2333333333333
918.0,672.0,0.73,932.1666666666666,684.3666666666667
918.0,672.0,0.74,931.0666666666667,683.5
918.0,671.0,0.75,929.9666666666667,682.6
918.0,671.0,0.76,929.0,681.8
918.0,671.0,0.77,928.0333333333333,681.0
918.0,669.0,0.78,927.0666666666667,680.1333333333333
918.0,669.0,0.79,926.2666666666667,679.3666666666667
918.0,669.0,0.8,925.4666666666667,678.6
918.0,669.0,0.81,924.6666666666666,677.8333333333334
918.0,669.0,0.82,923.8666666666667,677.0666666666667
918.0,669.0,0.83,923.0666666666667,676.3
920.0,669.0,0.84,922.5333333333333,675.6333333333333
920.0,669.0,0.85,922.0,674.9666666666667
920.0,669.0,0.86,921.6,674.4
920.0,669.0,0.87,921.2,673.8333333333334
920.0,669.0,0.88,920.8,673.2666666666667
923.0,671.0,0.89,920.5,672.7666666666667
923.0,671.0,0.9,920.3666666666667,672.4333333333333
923.0,671.0,0.91,920.2333333333333,672.1
927.0,672.0,0.92,920.2333333333333,671.8
927.0,672.0,0.93,920.3333333333334,671.6
927.0,672.0,0.94,920.4333333333333,671.4
933.0,675.0,0.95,920.7333333333333,671.3
933.0,675.0,0.96,921.1333333333333,671.3
933.0,675.0,0.97,921.5333333333333,671.3
936.0,677.0,0.98,922.0333333333333,671.3666666666667
936.0,677.0,0.99,922.5666666666667,671.4666666666667
945.0,678.0,1.0,923.4,671.6
945.0,678.0,1.01,924.2333333333333,671.7333333333333
945.0,678.0,1.02,925.1333333333333,671.9333333333333
945.0,678.0,1.03,926.0333333333333,672.1333333333333
948.0,680.0,1.04,927.0333333333333,672.4
948.0,680.0,1.05,928.0333333333333,672.7
953.0,681.0,1.06,929.2,673.0333333333333
953.0,681.0,1.07,930.3666666666667,673.3666666666667
953.0,681.0,1.08,931.5333333333333,673.7666666666667
953.0,681.0,1.09,932.7,674.1666666666666
965.0,692.0,1.1,934.2666666666667,674.9333333333333
965.0,692.0,1.11,935.8333333333334,675.7
1053.0,959.0,1.12,940.3333333333334,685.3666666666667
1053.0,959.0,1.13,944.8333333333334,695.0333333333333
1053.0,959.0,1.14,949.2666666666667,704.7
1053.0,959.0,1.15,953.7,714.3666666666667
1016.0,1061.0,1.16,956.9,727.4333333333333
1016.0,1061.0,1.17,960.1,740.5
1016.0,1061.0,1.18,963.3,753.5666666666667
1016.0,1061.0,1.19,966.4,766.5666666666667
1004.0,1053.0,1.2,969.1,779.3
1004.0,1053.0,1.21,971.8,792.0333333333333
1004.0,1053.0,1.22,974.3666666666667,804.7333333333333
974.0,1079.0,1.23,975.9333333333333,818.3
974.0,1079.0,1.24,977.5,831.8666666666667
974.0,1079.0,1.25,978.8666666666667,845.3333333333334
990.0,1079.0,1.26,980.7666666666667,858.8
990.0,1079.0,1.27,982.6666666666666,872.2666666666667
990.0,1079.0,1.28,984.4666666666667,885.6666666666666
1019.0,1079.0,1.29,987.2333333333333,899.0666666666667
1019.0,1079.0,1.3,989.7,912.4333333333333
1019.0,1079.0,1.31,992.1666666666666,925.8
1013.0,1079.0,1.32,994.4333333333333,939.1666666666666
1013.0,1079.0,1.33,996.7,952.5333333333333
1013.0,1079.0,1.34,998.8666666666667,965.8333333333334
1013.0,1079.0,1.35,1001.0333333333333,979.1333333333333
1014.0,1079.0,1.36,1003.0666666666667,992.4
1014.0,1079.0,1.37,1005.1,1005.6666666666666
1014.0,1079.0,1.38,1007.1333333333333,1018.9333333333333
1013.0,1079.0,1.39,1009.1333333333333,1032.2
1013.0,1079.0,1.4,1010.7333333333333,1045.1
1013.0,1079.0,1.41,1012.3333333333334,1058.0
1011.0,1079.0,1.42,1010.9333333333333,1062.0
1011.0,1079.0,1.43,1009.5333333333333,1066.0
1011.0,1079.0,1.44,1008.1333333333333,1070.0
1010.0,1079.0,1.45,1006.7,1074.0
1010.0,1079.0,1.46,1006.5,1074.6
1010.0,1079.0,1.47,1006.3,1075.2
885.0,980.0,1.48,1001.9333333333333,1072.5
885.0,980.0,1.49,997.5666666666667,1069.8
885.0,980.0,1.5,993.6,1067.3666666666666
828.0,899.0,1.51,987.7333333333333,1062.2333333333333
828.0,899.0,1.52,981.8666666666667,1057.1
785.0,741.0,1.53,975.5666666666667,1045.8333333333333
785.0,741.0,1.54,969.2666666666667,1034.5666666666666
785.0,741.0,1.55,962.9666666666667,1023.3
785.0,741.0,1.56,956.1333333333333,1012.0333333333333
785.0,741.0,1.57,949.3,1000.7666666666667
807.0,716.0,1.58,943.2,988.6666666666666
807.0,716.0,1.59,936.1333333333333,976.5666666666667
807.0,716.0,1.6,929.0666666666667,964.4666666666667
806.0,719.0,1.61,921.9666666666667,952.4666666666667
806.0,719.0,1.62,915.0666666666667,940.4666666666667
806.0,719.0,1.63,908.1666666666666,928.4666666666667
800.0,723.0,1.64,901.0666666666667,916.6
800.0,723.0,1.65,893.9666666666667,904.7333333333333
800.0,723.0,1.66,886.8333333333334,892.8666666666667
800.0,723.0,1.67,879.7,881.0
800.0,722.0,1.68,872.5666666666667,869.1
800.0,722.0,1.69,865.4666666666667,857.2
815.0,705.0,1.7,858.8666666666667,844.7333333333333
815.0,705.0,1.71,852.2666666666667,832.2666666666667
815.0,705.0,1.72,845.7333333333333,819.8
816.0,699.0,1.73,839.2333333333333,807.1333333333333
816.0,699.0,1.74,832.7333333333333,794.4666666666667
816.0,699.0,1.75,826.2666666666667,781.8
816.0,699.0,1.76,819.8,769.1333333333333
827.0,693.0,1.77,813.7,756.2666666666667
827.0,693.0,1.78,811.7666666666667,746.7
827.0,693.0,1.79,809.8333333333334,737.1333333333333
839.0,684.0,1.8,808.3,727.2666666666667
839.0,684.0,1.81,808.6666666666666,720.1
864.0,671.0,1.82,809.8666666666667,712.5
864.0,671.0,1.83,812.5,710.1666666666666
864.0,671.0,1.84,815.1333333333333,707.8333333333334
1010.0,650.0,1.85,822.6333333333333,704.8
1010.0,650.0,1.86,830.1333333333333,701.7666666666667
1010.0,650.0,1.87,837.6333333333333,698.7333333333333
1010.0,650.0,1.88,844.4,696.5333333333333
1010.0,650.0,1.89,851.1666666666666,694.3333333333334
1031.0,660.0,1.9,858.6333333333333,692.4666666666667
1031.0,660.0,1.91,866.1333333333333,690.5
1031.0,660.0,1.92,873.6333333333333,688.5333333333333
1031.0,659.0,1.93,881.1333333333333,686.5333333333333
1031.0,659.0,1.94,888.8333333333334,684.4
1031.0,659.0,1.95,896.5333333333333,682.2666666666667
1032.0,657.0,1.96,904.2666666666667,680.0666666666667
1032.0,657.0,1.97,912.0,677.8666666666667
1032.0,657.0,1.98,919.7333333333333,675.7
1035.0,654.0,1.99,927.5666666666667,673.4333333333333
1040.0,648.0,2.0,935.0666666666667,671.5333333333333
1040.0,648.0,2.01,942.5666666666667,669.6333333333333
1040.0,648.0,2.02,950.0666666666667,667.7333333333333
1040.0,648.0,2.03,957.5333333333333,666.0333333333333
1040.0,648.0,2.04,965.0,664.3333333333334
1040.0,650.0,2.05,972.4666666666667,662.7
1040.0,650.0,2.06,979.9333333333333,661.0666666666667
1040.0,650.0,2.07,987.0333333333333,659.6333333333333
948.0,905.0,2.08,991.0666666666667,666.7
948.0,905.0,2.09,995.1,673.7666666666667
947.0,938.0,2.1,998.7,682.2333333333333
947.0,938.0,2.11,1002.3,690.7
947.0,938.0,2.12,1005.0666666666667,699.6
947.0,938.0,2.13,1007.8333333333334,708.5
947.0,938.0,2.14,1010.6,717.4
950.0,1008.0,2.15,1008.6,729.3333333333334
950.0,1008.0,2.16,1006.6,741.2666666666667
950.0,1008.0,2.17,1004.6,753.2
953.0,1047.0,2.18,1002.7,766.4333333333333
977.0,1079.0,2.19,1001.6,780.7333333333333
977.0,1079.0,2.2,999.8,794.7
977.0,1079.0,2.21,998.0,808.6666666666666
977.0,1079.0,2.22,996.2,822.6333333333333
977.0,1079.0,2.23,994.4,836.6333333333333
977.0,1079.0,2.24,992.6,850.6333333333333
992.0,1079.0,2.25,991.3,864.6333333333333
992.0,1079.0,2.26,989.9666666666667,878.7
992.0,1079.0,2.27,988.6333333333333,892.7666666666667
996.0,1079.0,2.28,987.4333333333333,906.8333333333334
996.0,1079.0,2.29,986.1333333333333,921.0
996.0,1079.0,2.3,984.6666666666666,935.3666666666667
996.0,1079.0,2.31,983.2,949.7333333333333
996.0,1079.0,2.32,981.7333333333333,964.1
995.0,1079.0,2.33,980.2333333333333,978.4666666666667
995.0,1079.0,2.34,978.7333333333333,992.8333333333334
995.0,1079.0,2.35,977.2333333333333,1007.1333333333333
995.0,1079.0,2.36,975.7333333333333,1021.4333333333333
995.0,1079.0,2.37,974.2333333333333,1035.7333333333333
993.0,1079.0,2.38,975.7333333333333,1041.5333333333333
993.0,1079.0,2.39,977.2333333333333,1047.3333333333333
992.0,1079.0,2.4,978.7333333333333,1052.0333333333333
992.0,1079.0,2.41,980.2333333333333,1056.7333333333333
992.0,1079.0,2.42,981.7333333333333,1061.4333333333334
990.0,1079.0,2.43,983.1666666666666,1066.1333333333334
990.0,1079.0,2.44,984.6,1070.8333333333333
989.0,1079.0,2.45,985.9,1073.2
989.0,1079.0,2.46,987.2,1075.5666666666666
989.0,1079.0,2.47,988.5,1077.9333333333334
791.0,783.0,2.48,983.1,1069.1333333333334
791.0,783.0,2.49,976.9,1059.2666666666667
791.0,783.0,2.5,970.7,1049.4
755.0,762.0,2.51,963.3,1038.8333333333333
755.0,762.0,2.52,955.9,1028.2666666666667
755.0,762.0,2.53,948.5,1017.7
764.0,713.0,2.54,941.4,1005.5
764.0,713.0,2.55,933.8,993.3
764.0,713.0,2.56,926.2,981.1
764.0,713.0,2.57,918.6,968.9
764.0,713.0,2.58,910.8666666666667,956.7
812.0,698.0,2.59,904.7333333333333,944.0
812.0,698.0,2.6,898.6,931.3
812.0,698.0,2.61,892.4666666666667,918.6
903.0,615.0,2.62,889.3666666666667,903.1333333333333
903.0,615.0,2.63,886.3,887.6666666666666
903.0,615.0,2.64,883.2333333333333,872.2
915.0,597.0,2.65,880.5666666666667,856.1333333333333
915.0,597.0,2.66,877.9,840.0666666666667
915.0,597.0,2.67,875.2333333333333,824.0
915.0,597.0,2.68,872.6333333333333,807.9333333333333
980.0,584.0,2.69,872.2,791.4333333333333
980.0,584.0,2.7,871.8,774.9333333333333
986.0,572.0,2.71,871.6,758.0333333333333
986.0,572.0,2.72,871.4,741.1333333333333
986.0,572.0,2.73,871.2666666666667,724.2333333333333
986.0,572.0,2.74,871.1333333333333,707.3333333333334
986.0,572.0,2.75,871.0333333333333,690.4333333333333
986.0,572.0,2.76,870.9333333333333,673.5333333333333
992.0,573.0,2.77,871.0333333333333,656.6666666666666
992.0,573.0,2.78,877.7333333333333,649.6666666666666
992.0,573.0,2.79,884.4333333333333,642.6666666666666
1005.0,581.0,2.8,891.5666666666667,635.9333333333333
1005.0,581.0,2.81,899.9,629.9
1005.0,581.0,2.82,908.2333333333333,623.8666666666667
1017.0,588.0,2.83,916.9666666666667,618.0666666666667
1017.0,588.0,2.84,925.4,613.9
1017.0,588.0,2.85,933.8333333333334,609.7333333333333
1017.0,588.0,2.86,942.2666666666667,605.5666666666667
1041.0,593.0,2.87,951.5,601.5666666666667
1041.0,593.0,2.88,960.7333333333333,597.5666666666667
1041.0,593.0,2.89,968.3666666666667,594.0666666666667
1043.0,593.0,2.9,976.0666666666667,590.5666666666667
1043.0,593.0,2.91,983.7666666666667,587.0666666666667
1044.0,596.0,2.92,988.4666666666667,586.4333333333333
1044.0,596.0,2.93,993.1666666666666,585.8
1044.0,596.0,2.94,997.8666666666667,585.1666666666666
