x,y,t
921.0,620.0,0.0
921.0,620.0,0.01
923.0,618.0,0.02
923.0,618.0,0.03
923.0,618.0,0.04
923.0,618.0,0.05
924.0,617.0,0.06
924.0,617.0,0.07
926.0,614.0,0.08
926.0,614.0,0.09
926.0,614.0,0.1
926.0,614.0,0.11
927.0,611.0,0.12
927.0,611.0,0.13
927.0,611.0,0.14
927.0,606.0,0.15
927.0,606.0,0.16
927.0,606.0,0.17
927.0,597.0,0.18
927.0,597.0,0.19
927.0,597.0,0.2
927.0,590.0,0.21
927.0,590.0,0.22
927.0,590.0,0.23
927.0,590.0,0.24
926.0,582.0,0.25
926.0,582.0,0.26
926.0,582.0,0.27
926.0,582.0,0.28
923.0,575.0,0.29
923.0,575.0,0.3
923.0,575.0,0.31
920.0,569.0,0.32
920.0,569.0,0.33
920.0,569.0,0.34
914.0,564.0,0.35
914.0,564.0,0.36
914.0,564.0,0.37
906.0,560.0,0.38
906.0,560.0,0.39
906.0,560.0,0.4
899.0,557.0,0.41
899.0,557.0,0.42
899.0,557.0,0.43
891.0,554.0,0.44
891.0,554.0,0.45
891.0,554.0,0.46
891.0,554.0,0.47
884.0,552.0,0.48
884.0,552.0,0.49
876.0,552.0,0.5
876.0,552.0,0.51
876.0,552.0,0.52
869.0,554.0,0.53
869.0,554.0,0.54
869.0,554.0,0.55
861.0,555.0,0.56
861.0,555.0,0.57
861.0,555.0,0.58
861.0,555.0,0.59
861.0,555.0,0.6
855.0,557.0,0.61
855.0,557.0,0.62
855.0,557.0,0.63
849.0,560.0,0.64
849.0,560.0,0.65
849.0,560.0,0.66
843.0,561.0,0.67
843.0,561.0,0.68
843.0,561.0,0.69
836.0,563.0,0.7
836.0,563.0,0.71
836.0,563.0,0.72
828.0,561.0,0.73
828.0,561.0,0.74
828.0,561.0,0.75
822.0,560.0,0.76
822.0,560.0,0.77
822.0,560.0,0.78
816.0,557.0,0.79
816.0,557.0,0.8
816.0,557.0,0.81
812.0,554.0,0.82
812.0,554.0,0.83
812.0,554.0,0.84
807.0,549.0,0.85
807.0,549.0,0.86
807.0,549.0,0.87
807.0,549.0,0.88
803.0,545.0,0.89
803.0,545.0,0.9
803.0,545.0,0.91
800.0,540.0,0.92
800.0,540.0,0.93
800.0,540.0,0.94
800.0,540.0,0.95
797.0,534.0,0.96
797.0,534.0,0.97
797.0,534.0,0.98
795.0,530.0,0.99
794.0,525.0,1.0
792.0,521.0,1.01
792.0,521.0,1.02
792.0,521.0,1.03
792.0,516.0,1.04
792.0,516.0,1.05
792.0,516.0,1.06
792.0,513.0,1.07
792.0,513.0,1.08
792.0,513.0,1.09
792.0,510.0,1.1
792.0,510.0,1.11
792.0,510.0,1.12
794.0,509.0,1.13
794.0,509.0,1.14
794.0,509.0,1.15
795.0,507.0,1.16
795.0,507.0,1.17
795.0,507.0,1.18
800.0,506.0,1.19
800.0,506.0,1.2
800.0,506.0,1.21
800.0,506.0,1.22
804.0,506.0,1.23
804.0,506.0,1.24
804.0,506.0,1.25
810.0,506.0,1.26
810.0,506.0,1.27
810.0,506.0,1.28
810.0,506.0,1.29
810.0,506.0,1.3
818.0,507.0,1.31
818.0,507.0,1.32
818.0,507.0,1.33
824.0,509.0,1.34
824.0,509.0,1.35
830.0,510.0,1.36
830.0,510.0,1.37
830.0,510.0,1.38
834.0,512.0,1.39
834.0,512.0,1.4
834.0,512.0,1.41
839.0,512.0,1.42
839.0,512.0,1.43
839.0,512.0,1.44
839.0,512.0,1.45
842.0,513.0,1.46
842.0,513.0,1.47
842.0,513.0,1.48
846.0,515.0,1.49
846.0,515.0,1.5
851.0,516.0,1.51
851.0,516.0,1.52
851.0,516.0,1.53
851.0,516.0,1.54
857.0,518.0,1.55
857.0,518.0,1.56
857.0,518.0,1.57
861.0,521.0,1.58
861.0,521.0,1.59
861.0,521.0,1.6
866.0,524.0,1.61
866.0,524.0,1.62
866.0,524.0,1.63
866.0,524.0,1.64
870.0,525.0,1.65
870.0,525.0,1.66
870.0,525.0,1.67
873.0,527.0,1.68
873.0,527.0,1.69
873.0,527.0,1.7
873.0,527.0,1.71
878.0,530.0,1.72
878.0,530.0,1.73
881.0,533.0,1.74
881.0,533.0,1.75
881.0,533.0,1.76
884.0,536.0,1.77
884.0,536.0,1.78
884.0,536.0,1.79
887.0,539.0,1.8
887.0,539.0,1.81
887.0,539.0,1.82
887.0,539.0,1.83
890.0,540.0,1.84
890.0,540.0,1.85
890.0,540.0,1.86
893.0,543.0,1.87
893.0,543.0,1.88
893.0,543.0,1.89
893.0,543.0,1.9
896.0,545.0,1.91
896.0,545.0,1.92
897.0,546.0,1.93
897.0,546.0,1.94
899.0,548.0,1.95
899.0,548.0,1.96
899.0,548.0,1.97
899.0,548.0,1.98
899.0,548.0,1.99
902.0,552.0,2.0
902.0,552.0,2.01
905.0,555.0,2.02
905.0,555.0,2.03
905.0,555.0,2.04
899.0,710.0,2.05
899.0,710.0,2.06
899.0,710.0,2.07
899.0,710.0,2.08
864.0,1079.0,2.09
864.0,1079.0,2.1
968.0,1079.0,2.11
968.0,1079.0,2.12
968.0,1079.0,2.13
1020.0,1079.0,2.14
1020.0,1079.0,2.15
1020.0,1079.0,2.16
1020.0,1079.0,2.17
1092.0,1079.0,2.18
1092.0,1079.0,2.19
1086.0,1079.0,2.2
1086.0,1079.0,2.21
1086.0,1079.0,2.22
1076.0,1079.0,2.23
1076.0,1079.0,2.24
1076.0,1079.0,2.25
1076.0,1079.0,2.26
1053.0,1079.0,2.27
1053.0,1079.0,2.28
1053.0,1079.0,2.29
1041.0,1079.0,2.3
1041.0,1079.0,2.31
1041.0,1079.0,2.32
