x,y,t,x_avg,y_avg
975.0,710.1,0.0,975.0,710.1
975.0,710.1,0.01,975.0,710.1
975.0,710.1,0.02,975.0,710.1
975.0,710.1,0.03,975.0,710.1
975.0,709.2,0.04,975.0,709.9200000000001
975.0,709.2,0.05,975.0,709.8000000000001
975.0,709.2,0.06,975.0,709.7142857142857
975.0,707.4,0.07,975.0,709.4250000000001
975.0,707.4,0.08,975.0,709.2
975.0,707.4,0.09,975.0,709.02
975.0,706.5,0.1,975.0,708.790909090909
975.0,706.5,0.11,975.0,708.6
975.0,706.5,0.12,975.0,708.4384615384616
975.0,705.6,0.13,975.0,708.2357142857143
975.0,705.6,0.14,975.0,708.06
975.0,705.6,0.15,975.0,707.90625
976.0,702.9,0.16,975.0588235294117,707.6117647058824
976.0,702.9,0.17,975.1111111111111,707.3499999999999
976.0,702.9,0.18,975.1578947368421,707.1157894736842
976.0,702.9,0.19,975.2,706.905
978.0,701.1,0.2,975.35,706.455
978.0,701.1,0.21,975.5,706.0049999999999
980.0,696.6,0.22,975.75,705.33
980.0,696.6,0.23,976.0,704.655
980.0,696.6,0.24,976.25,704.025
986.0,689.4,0.25,976.8,703.035
986.0,689.4,0.26,977.35,702.045
986.0,689.4,0.27,977.9,701.1450000000001
986.0,689.4,0.28,978.45,700.245
986.0,689.4,0.29,979.0,699.345
986.0,687.6,0.3,979.55,698.4
986.0,687.6,0.31,980.1,697.4549999999999
986.0,687.6,0.32,980.65,696.51
985.0,682.2,0.33,981.15,695.3399999999999
985.0,682.2,0.34,981.65,694.1700000000001
985.0,682.2,0.35,982.15,693.0
980.0,675.0,0.36,982.35,691.605
980.0,675.0,0.37,982.55,690.21
980.0,675.0,0.38,982.75,688.8149999999999
978.0,671.4,0.39,982.85,687.24
978.0,671.4,0.4,982.85,685.755
978.0,671.4,0.41,982.85,684.27
974.0,668.7,0.42,982.55,682.875
974.0,668.7,0.43,982.25,681.48
974.0,668.7,0.44,981.95,680.085
973.0,662.4,0.45,981.3,678.735
973.0,662.4,0.46,980.65,677.385
973.0,662.4,0.47,980.0,676.035
973.0,657.0,0.48,979.35,674.415
973.0,657.0,0.49,978.7,672.795
973.0,657.0,0.5,978.05,671.265
973.0,657.0,0.51,977.4,669.735
971.0,651.6,0.52,976.65,667.9350000000001
