x,y,t
1097.0,582.0,0.0
1097.0,582.0,0.01
1097.0,582.0,0.02
1097.0,582.0,0.03
1097.0,582.0,0.04
1089.0,597.0,0.05
1089.0,597.0,0.06
1089.0,597.0,0.07
1074.0,626.0,0.08
1074.0,626.0,0.09
1074.0,626.0,0.1
1074.0,626.0,0.11
1065.0,638.0,0.12
1065.0,638.0,0.13
1065.0,638.0,0.14
1037.0,677.0,0.15
1037.0,677.0,0.16
1019.0,692.0,0.17
1019.0,692.0,0.18
1019.0,692.0,0.19
947.0,729.0,0.2
947.0,729.0,0.21
947.0,729.0,0.22
941.0,729.0,0.23
941.0,729.0,0.24
941.0,729.0,0.25
935.0,731.0,0.26
935.0,731.0,0.27
935.0,731.0,0.28
927.0,731.0,0.29
927.0,731.0,0.3
927.0,731.0,0.31
921.0,731.0,0.32
921.0,731.0,0.33
921.0,731.0,0.34
915.0,729.0,0.35
915.0,729.0,0.36
915.0,729.0,0.37
915.0,729.0,0.38
915.0,729.0,0.39
909.0,728.0,0.4
909.0,728.0,0.41
909.0,728.0,0.42
909.0,728.0,0.43
897.0,728.0,0.44
897.0,728.0,0.45
887.0,726.0,0.46
887.0,726.0,0.47
887.0,726.0,0.48
881.0,723.0,0.49
881.0,723.0,0.5
881.0,723.0,0.51
875.0,717.0,0.52
875.0,717.0,0.53
875.0,717.0,0.54
869.0,710.0,0.55
869.0,710.0,0.56
869.0,710.0,0.57
867.0,704.0,0.58
867.0,704.0,0.59
867.0,704.0,0.6
867.0,698.0,0.61
867.0,698.0,0.62
867.0,698.0,0.63
867.0,698.0,0.64
870.0,692.0,0.65
870.0,692.0,0.66
876.0,687.0,0.67
876.0,687.0,0.68
876.0,687.0,0.69
885.0,684.0,0.7
885.0,684.0,0.71
885.0,684.0,0.72
893.0,683.0,0.73
893.0,683.0,0.74
893.0,683.0,0.75
893.0,683.0,0.76
893.0,683.0,0.77
900.0,683.0,0.78
900.0,683.0,0.79
900.0,683.0,0.8
906.0,684.0,0.81
906.0,684.0,0.82
906.0,684.0,0.83
906.0,684.0,0.84
906.0,684.0,0.85
912.0,686.0,0.86
912.0,686.0,0.87
918.0,687.0,0.88
918.0,687.0,0.89
927.0,689.0,0.9
927.0,689.0,0.91
927.0,689.0,0.92
938.0,692.0,0.93
938.0,692.0,0.94
938.0,692.0,0.95
950.0,698.0,0.96
950.0,698.0,0.97
950.0,698.0,0.98
960.0,704.0,0.99
969.0,708.0,1.0
974.0,711.0,1.01
974.0,711.0,1.02
974.0,711.0,1.03
977.0,713.0,1.04
977.0,713.0,1.05
977.0,713.0,1.06
977.0,713.0,1.07
978.0,714.0,1.08
978.0,714.0,1.09
