x,y,t
1013.0,669.0,0.0
1013.0,669.0,0.01
1013.0,669.0,0.02
1011.0,669.0,0.03
1011.0,669.0,0.04
1011.0,669.0,0.05
1011.0,669.0,0.06
1010.0,669.0,0.07
1010.0,669.0,0.08
1010.0,669.0,0.09
1010.0,669.0,0.1
1008.0,668.0,0.11
1008.0,668.0,0.12
1007.0,666.0,0.13
1007.0,666.0,0.14
1007.0,666.0,0.15
1005.0,665.0,0.16
1005.0,665.0,0.17
1005.0,665.0,0.18
1004.0,662.0,0.19
1004.0,662.0,0.2
1004.0,662.0,0.21
1004.0,659.0,0.22
1004.0,659.0,0.23
1004.0,659.0,0.24
1004.0,654.0,0.25
1004.0,654.0,0.26
1004.0,654.0,0.27
1005.0,651.0,0.28
1005.0,651.0,0.29
1005.0,651.0,0.3
1005.0,651.0,0.31
1005.0,651.0,0.32
1007.0,648.0,0.33
1007.0,648.0,0.34
1007.0,648.0,0.35
1008.0,647.0,0.36
1008.0,647.0,0.37
1008.0,647.0,0.38
1008.0,645.0,0.39
1008.0,645.0,0.4
1008.0,645.0,0.41
1008.0,644.0,0.42
1008.0,644.0,0.43
1008.0,644.0,0.44
1008.0,642.0,0.45
1008.0,642.0,0.46
1008.0,642.0,0.47
1007.0,641.0,0.48
1007.0,641.0,0.49
1007.0,641.0,0.5
1007.0,641.0,0.51
336.0,588.0,0.52
336.0,588.0,0.53
272.0,576.0,0.54
272.0,576.0,0.55
272.0,576.0,0.56
242.0,569.0,0.57
242.0,569.0,0.58
242.0,569.0,0.59
228.0,567.0,0.6
228.0,567.0,0.61
228.0,567.0,0.62
222.0,570.0,0.63
222.0,570.0,0.64
222.0,570.0,0.65
222.0,570.0,0.66
222.0,570.0,0.67
224.0,569.0,0.68
224.0,569.0,0.69
224.0,569.0,0.7
224.0,569.0,0.71
224.0,569.0,0.72
225.0,567.0,0.73
225.0,567.0,0.74
228.0,566.0,0.75
228.0,566.0,0.76
233.0,566.0,0.77
233.0,566.0,0.78
233.0,566.0,0.79
239.0,566.0,0.8
239.0,566.0,0.81
239.0,566.0,0.82
246.0,566.0,0.83
246.0,566.0,0.84
246.0,566.0,0.85
254.0,567.0,0.86
254.0,567.0,0.87
254.0,567.0,0.88
260.0,569.0,0.89
260.0,569.0,0.9
260.0,569.0,0.91
260.0,569.0,0.92
266.0,570.0,0.93
266.0,570.0,0.94
270.0,570.0,0.95
270.0,570.0,0.96
270.0,570.0,0.97
273.0,570.0,0.98
273.0,570.0,0.99
276.0,572.0,1.0
279.0,573.0,1.01
279.0,573.0,1.02
279.0,573.0,1.03
279.0,573.0,1.04
