x,y,t,x_avg,y_avg
966.0,602.0,0.0,966.0,602.0
966.0,602.0,0.01,966.0,602.0
966.0,602.0,0.02,966.0,602.0
966.0,602.0,0.03,966.0,602.0
966.0,602.0,0.04,966.0,602.0
966.0,602.0,0.05,966.0,602.0
966.0,602.0,0.06,966.0,602.0
966.0,602.0,0.07,966.0,602.0
966.0,602.0,0.08,966.0,602.0
966.0,602.0,0.09,966.0,602.0
966.0,602.0,0.1,966.0,602.0
966.0,602.0,0.11,966.0,602.0
966.0,602.0,0.12,966.0,602.0
966.0,602.0,0.13,966.0,602.0
966.0,602.0,0.14,966.0,602.0
965.0,600.0,0.15,965.9375,601.875
965.0,600.0,0.16,965.8823529411765,601.7647058823529
965.0,600.0,0.17,965.8333333333334,601.6666666666666
965.0,600.0,0.18,965.7894736842105,601.578947368421
965.0,600.0,0.19,965.75,601.5
965.0,600.0,0.2,965.7,601.4
965.0,600.0,0.21,965.65,601.3
963.0,599.0,0.22,965.5,601.15
963.0,599.0,0.23,965.35,601.0
963.0,599.0,0.24,965.2,600.85
963.0,599.0,0.25,965.05,600.7
963.0,599.0,0.26,964.9,600.55
963.0,599.0,0.27,964.75,600.4
963.0,599.0,0.28,964.6,600.25
963.0,599.0,0.29,964.45,600.1
963.0,599.0,0.3,964.3,599.95
963.0,599.0,0.31,964.15,599.8
963.0,599.0,0.32,964.0,599.65
963.0,599.0,0.33,963.85,599.5
963.0,599.0,0.34,963.7,599.35
963.0,599.0,0.35,963.6,599.3
963.0,599.0,0.36,963.5,599.25
963.0,599.0,0.37,963.4,599.2
963.0,599.0,0.38,963.3,599.15
963.0,599.0,0.39,963.2,599.1
963.0,599.0,0.4,963.1,599.05
963.0,599.0,0.41,963.0,599.0
963.0,599.0,0.42,963.0,599.0
963.0,599.0,0.43,963.0,599.0
963.0,599.0,0.44,963.0,599.0
963.0,599.0,0.45,963.0,599.0
963.0,599.0,0.46,963.0,599.0
963.0,599.0,0.47,963.0,599.0
963.0,600.0,0.48,963.0,599.05
963.0,600.0,0.49,963.0,599.1
963.0,600.0,0.5,963.0,599.15
963.0,600.0,0.51,963.0,599.2
963.0,600.0,0.52,963.0,599.25
963.0,600.0,0.53,963.0,599.3
963.0,600.0,0.54,963.0,599.35
963.0,602.0,0.55,963.0,599.5
963.0,602.0,0.56,963.0,599.65
963.0,602.0,0.57,963.0,599.8
963.0,602.0,0.58,963.0,599.95
963.0,602.0,0.59,963.0,600.1
963.0,602.0,0.6,963.0,600.25
965.0,605.0,0.61,963.1,600.55
965.0,605.0,0.62,963.2,600.85
965.0,605.0,0.63,963.3,601.15
965.0,605.0,0.64,963.4,601.45
965.0,605.0,0.65,963.5,601.75
965.0,605.0,0.66,963.6,602.05
966.0,608.0,0.67,963.75,602.5
966.0,608.0,0.68,963.9,602.9
966.0,608.0,0.69,964.05,603.3
966.0,608.0,0.7,964.2,603.7
966.0,608.0,0.71,964.35,604.1
966.0,608.0,0.72,964.5,604.5
966.0,609.0,0.73,964.65,604.95
966.0,609.0,0.74,964.8,605.4
966.0,609.0,0.75,964.95,605.75
966.0,609.0,0.76,965.1,606.1
966.0,609.0,0.77,965.25,606.45
966.0,609.0,0.78,965.4,606.8
966.0,609.0,0.79,965.55,607.15
966.0,611.0,0.8,965.7,607.6
966.0,611.0,0.81,965.75,607.9
966.0,611.0,0.82,965.8,608.2
966.0,611.0,0.83,965.85,608.5
966.0,611.0,0.84,965.9,608.8
966.0,611.0,0.85,965.95,609.1
966.0,611.0,0.86,966.0,609.4
966.0,611.0,0.87,966.0,609.55
966.0,611.0,0.88,966.0,609.7
966.0,611.0,0.89,966.0,609.85
966.0,611.0,0.9,966.0,610.0
966.0,611.0,0.91,966.0,610.15
966.0,611.0,0.92,966.0,610.3
966.0,611.0,0.93,966.0,610.4
966.0,611.0,0.94,966.0,610.5
966.0,611.0,0.95,966.0,610.6
966.0,611.0,0.96,966.0,610.7
966.0,611.0,0.97,966.0,610.8
966.0,611.0,0.98,966.0,610.9
966.0,609.0,0.99,966.0,610.9
966.0,609.0,1.0,966.0,610.8
966.0,609.0,1.01,966.0,610.7
966.0,608.0,1.02,966.0,610.55
966.0,608.0,1.03,966.0,610.4
966.0,608.0,1.04,966.0,610.25
966.0,608.0,1.05,966.0,610.1
966.0,608.0,1.06,966.0,609.95
966.0,608.0,1.07,966.0,609.8
606.0,560.0,1.08,948.0,607.25
606.0,560.0,1.09,930.0,604.7
606.0,560.0,1.1,912.0,602.15
606.0,560.0,1.11,894.0,599.6
606.0,560.0,1.12,876.0,597.05
606.0,560.0,1.13,858.0,594.5
165.0,501.0,1.14,817.95,589.0
165.0,501.0,1.15,777.9,583.5
165.0,501.0,1.16,737.85,578.0
165.0,501.0,1.17,697.8,572.5
165.0,501.0,1.18,657.75,567.0
165.0,501.0,1.19,617.7,561.6
165.0,501.0,1.2,577.65,556.2
111.0,492.0,1.21,534.9,550.35
111.0,492.0,1.22,492.15,544.55
111.0,492.0,1.23,449.4,538.75
111.0,492.0,1.24,406.65,532.95
111.0,492.0,1.25,363.9,527.15
111.0,492.0,1.26,321.15,521.35
111.0,492.0,1.27,278.4,515.55
87.0,488.0,1.28,252.45,511.95
87.0,488.0,1.29,226.5,508.35
87.0,488.0,1.3,200.55,504.75
87.0,488.0,1.31,174.6,501.15
87.0,488.0,1.32,148.65,497.55
87.0,488.0,1.33,122.7,493.95
72.0,482.0,1.34,118.05,493.0
72.0,482.0,1.35,113.4,492.05
72.0,482.0,1.36,108.75,491.1
72.0,482.0,1.37,104.1,490.15
72.0,482.0,1.38,99.45,489.2
72.0,482.0,1.39,94.8,488.25
63.0,476.0,1.4,89.7,487.0
63.0,476.0,1.41,87.3,486.2
63.0,476.0,1.42,84.9,485.4
63.0,476.0,1.43,82.5,484.6
63.0,476.0,1.44,80.1,483.8
63.0,476.0,1.45,77.7,483.0
62.0,474.0,1.46,75.25,482.1
62.0,474.0,1.47,72.8,481.2
62.0,474.0,1.48,71.55,480.5
62.0,474.0,1.49,70.3,479.8
62.0,474.0,1.5,69.05,479.1
62.0,474.0,1.51,67.8,478.4
60.0,473.0,1.52,66.45,477.65
60.0,473.0,1.53,65.1,476.9
60.0,473.0,1.54,64.5,476.45
60.0,473.0,1.55,63.9,476.0
60.0,473.0,1.56,63.3,475.55
60.0,473.0,1.57,62.7,475.1
60.0,473.0,1.58,62.1,474.65
60.0,473.0,1.59,61.5,474.2
60.0,473.0,1.6,61.35,474.05
59.0,471.0,1.61,61.15,473.8
59.0,471.0,1.62,60.95,473.55
59.0,471.0,1.63,60.75,473.3
59.0,471.0,1.64,60.55,473.05
59.0,471.0,1.65,60.35,472.8
57.0,470.0,1.66,60.1,472.6
57.0,470.0,1.67,59.85,472.4
57.0,470.0,1.68,59.6,472.2
57.0,470.0,1.69,59.35,472.0
57.0,470.0,1.7,59.1,471.8
57.0,470.0,1.71,58.85,471.6
56.0,468.0,1.72,58.65,471.35
56.0,468.0,1.73,58.45,471.1
56.0,468.0,1.74,58.25,470.85
56.0,468.0,1.75,58.05,470.6
56.0,468.0,1.76,57.85,470.35
56.0,468.0,1.77,57.65,470.1
54.0,467.0,1.78,57.35,469.8
54.0,467.0,1.79,57.05,469.5
54.0,467.0,1.8,56.75,469.2
54.0,467.0,1.81,56.5,469.0
54.0,467.0,1.82,56.25,468.8
54.0,467.0,1.83,56.0,468.6
53.0,465.0,1.84,55.7,468.3
53.0,465.0,1.85,55.4,468.0
53.0,465.0,1.86,55.2,467.75
53.0,465.0,1.87,55.0,467.5
53.0,465.0,1.88,54.8,467.25
53.0,465.0,1.89,54.6,467.0
51.0,464.0,1.9,54.3,466.7
51.0,464.0,1.91,54.0,466.4
51.0,464.0,1.92,53.75,466.2
51.0,464.0,1.93,53.5,466.0
51.0,464.0,1.94,53.25,465.8
51.0,464.0,1.95,53.0,465.6
51.0,464.0,1.96,52.75,465.4
50.0,464.0,1.97,52.45,465.2
50.0,464.0,1.98,52.25,465.05
50.0,464.0,1.99,52.05,464.9
50.0,464.0,2.0,51.85,464.75
50.0,464.0,2.01,51.65,464.6
50.0,464.0,2.02,51.45,464.45
50.0,464.0,2.03,51.25,464.3
50.0,464.0,2.04,51.1,464.25
50.0,464.0,2.05,50.95,464.2
50.0,464.0,2.06,50.8,464.15
50.0,464.0,2.07,50.65,464.1
50.0,464.0,2.08,50.5,464.05
50.0,464.0,2.09,50.35,464.0
50.0,464.0,2.1,50.3,464.0
50.0,464.0,2.11,50.25,464.0
50.0,464.0,2.12,50.2,464.0
51.0,465.0,2.13,50.2,464.05
51.0,465.0,2.14,50.2,464.1
51.0,465.0,2.15,50.2,464.15
51.0,465.0,2.16,50.2,464.2
51.0,465.0,2.17,50.25,464.25
51.0,465.0,2.18,50.3,464.3
51.0,465.0,2.19,50.35,464.35
51.0,465.0,2.2,50.4,464.4
54.0,468.0,2.21,50.6,464.6
54.0,468.0,2.22,50.8,464.8
54.0,468.0,2.23,51.0,465.0
54.0,468.0,2.24,51.2,465.2
54.0,468.0,2.25,51.4,465.4
54.0,468.0,2.26,51.6,465.6
59.0,473.0,2.27,52.05,466.05
59.0,473.0,2.28,52.5,466.5
59.0,473.0,2.29,52.95,466.95
59.0,473.0,2.3,53.4,467.4
59.0,473.0,2.31,53.85,467.85
59.0,473.0,2.32,54.3,468.3
65.0,479.0,2.33,55.0,469.0
65.0,479.0,2.34,55.7,469.7
65.0,479.0,2.35,56.4,470.4
65.0,479.0,2.36,57.1,471.1
65.0,479.0,2.37,57.8,471.8
65.0,479.0,2.38,58.5,472.5
65.0,479.0,2.39,59.2,473.2
71.0,485.0,2.4,60.2,474.2
71.0,485.0,2.41,61.05,475.05
71.0,485.0,2.42,61.9,475.9
71.0,485.0,2.43,62.75,476.75
71.0,485.0,2.44,63.6,477.6
75.0,489.0,2.45,64.65,478.65
75.0,489.0,2.46,65.7,479.7
75.0,489.0,2.47,66.5,480.5
75.0,489.0,2.48,67.3,481.3
75.0,489.0,2.49,68.1,482.1
75.0,489.0,2.5,68.9,482.9
75.0,489.0,2.51,69.7,483.7
77.0,492.0,2.52,70.6,484.65
77.0,492.0,2.53,71.2,485.3
77.0,492.0,2.54,71.8,485.95
77.0,492.0,2.55,72.4,486.6
77.0,492.0,2.56,73.0,487.25
77.0,492.0,2.57,73.6,487.9
77.0,495.0,2.58,74.2,488.7
77.0,495.0,2.59,74.8,489.5
77.0,495.0,2.6,75.1,490.0
77.0,495.0,2.61,75.4,490.5
77.0,495.0,2.62,75.7,491.0
77.0,495.0,2.63,76.0,491.5
77.0,495.0,2.64,76.3,492.0
77.0,498.0,2.65,76.4,492.45
77.0,498.0,2.66,76.5,492.9
77.0,498.0,2.67,76.6,493.35
77.0,498.0,2.68,76.7,493.8
77.0,498.0,2.69,76.8,494.25
77.0,498.0,2.7,76.9,494.7
77.0,498.0,2.71,77.0,495.15
387.0,545.0,2.72,92.5,497.8
387.0,545.0,2.73,108.0,500.45
387.0,545.0,2.74,123.5,503.1
387.0,545.0,2.75,139.0,505.75
387.0,545.0,2.76,154.5,508.4
852.0,543.0,2.77,193.25,510.95
852.0,543.0,2.78,232.0,513.35
852.0,543.0,2.79,270.75,515.75
852.0,543.0,2.8,309.5,518.15
852.0,543.0,2.81,348.25,520.55
852.0,543.0,2.82,387.0,522.95
852.0,543.0,2.83,425.75,525.35
878.0,546.0,2.84,465.8,527.9
878.0,546.0,2.85,505.85,530.3
878.0,546.0,2.86,545.9,532.7
878.0,546.0,2.87,585.95,535.1
878.0,546.0,2.88,626.0,537.5
887.0,537.0,2.89,666.5,539.45
887.0,537.0,2.9,707.0,541.4
887.0,537.0,2.91,747.5,543.35
887.0,537.0,2.92,772.5,542.95
887.0,537.0,2.93,797.5,542.55
887.0,537.0,2.94,822.5,542.15
887.0,537.0,2.95,847.5,541.75
887.0,537.0,2.96,872.5,541.35
887.0,537.0,2.97,874.25,541.05
890.0,528.0,2.98,876.15,540.3
890.0,528.0,2.99,878.05,539.55
896.0,528.0,3.0,880.25,538.8
896.0,528.0,3.01,882.45,538.05
896.0,528.0,3.02,884.65,537.3
896.0,528.0,3.03,886.85,536.55
896.0,528.0,3.04,887.75,535.65
896.0,528.0,3.05,888.65,534.75
896.0,528.0,3.06,889.55,533.85
896.0,528.0,3.07,890.45,532.95
896.0,528.0,3.08,891.35,532.05
896.0,528.0,3.09,891.8,531.6
896.0,528.0,3.1,892.25,531.15
896.0,528.0,3.11,892.7,530.7
