x,y,t,x_avg,y_avg
1244.0,1079.0,0.0,1244.0,1079.0
1244.0,1079.0,0.01,1244.0,1079.0
1244.0,1079.0,0.02,1244.0,1079.0
1244.0,1079.0,0.03,1244.0,1079.0
1244.0,1079.0,0.04,1244.0,1079.0
1244.0,1079.0,0.05,1244.0,1079.0
1244.0,1079.0,0.06,1244.0,1079.0
1244.0,1079.0,0.07,1244.0,1079.0
1244.0,1079.0,0.08,1244.0,1079.0
1244.0,1079.0,0.09,1244.0,1079.0
1244.0,1079.0,0.1,1244.0,1079.0
1244.0,1079.0,0.11,1244.0,1079.0
1244.0,1079.0,0.12,1244.0,1079.0
1244.0,1079.0,0.13,1244.0,1079.0
1244.0,1079.0,0.14,1244.0,1079.0
1244.0,1079.0,0.15,1244.0,1079.0
1244.0,1079.0,0.16,1244.0,1079.0
1244.0,1079.0,0.17,1244.0,1079.0
1244.0,1079.0,0.18,1244.0,1079.0
1244.0,1079.0,0.19,1244.0,1079.0
1244.0,1079.0,0.2,1244.0,1079.0
1244.0,1079.0,0.21,1244.0,1079.0
1244.0,1079.0,0.22,1244.0,1079.0
1244.0,1079.0,0.23,1244.0,1079.0
1244.0,1079.0,0.24,1244.0,1079.0
1244.0,1079.0,0.25,1244.0,1079.0
1244.0,1079.0,0.26,1244.0,1079.0
1244.0,1079.0,0.27,1244.0,1079.0
1242.0,1079.0,0.28,1243.9,1079.0
1242.0,1079.0,0.29,1243.8,1079.0
1242.0,1079.0,0.3,1243.7,1079.0
1241.0,1079.0,0.31,1243.55,1079.0
1241.0,1079.0,0.32,1243.4,1079.0
1241.0,1079.0,0.33,1243.25,1079.0
1239.0,1079.0,0.34,1243.0,1079.0
1239.0,1079.0,0.35,1242.75,1079.0
1239.0,1079.0,0.36,1242.5,1079.0
1238.0,1079.0,0.37,1242.2,1079.0
1238.0,1079.0,0.38,1241.9,1079.0
1236.0,1079.0,0.39,1241.5,1079.0
1236.0,1079.0,0.4,1241.1,1079.0
1236.0,1079.0,0.41,1240.7,1079.0
1236.0,1079.0,0.42,1240.3,1079.0
1236.0,1079.0,0.43,1239.9,1079.0
1236.0,1079.0,0.44,1239.5,1079.0
1236.0,1079.0,0.45,1239.1,1079.0
1236.0,1079.0,0.46,1238.7,1079.0
1236.0,1079.0,0.47,1238.3,1079.0
1238.0,1079.0,0.48,1238.1,1079.0
1238.0,1079.0,0.49,1237.9,1079.0
1238.0,1079.0,0.5,1237.7,1079.0
1239.0,1079.0,0.51,1237.6,1079.0
1239.0,1079.0,0.52,1237.5,1079.0
1239.0,1079.0,0.53,1237.4,1079.0
1253.0,1079.0,0.54,1238.1,1079.0
1253.0,1079.0,0.55,1238.8,1079.0
1253.0,1079.0,0.56,1239.5,1079.0
1253.0,1079.0,0.57,1240.25,1079.0
1253.0,1079.0,0.58,1241.0,1079.0
1253.0,1079.0,0.59,1241.85,1079.0
1253.0,1079.0,0.6,1242.7,1079.0
1253.0,1079.0,0.61,1243.55,1079.0
1253.0,1079.0,0.62,1244.4,1079.0
1253.0,1079.0,0.63,1245.25,1079.0
1253.0,1079.0,0.64,1246.1,1079.0
1253.0,1079.0,0.65,1246.95,1079.0
1253.0,1079.0,0.66,1247.8,1079.0
1253.0,1079.0,0.67,1248.65,1079.0
1253.0,1079.0,0.68,1249.4,1079.0
1253.0,1079.0,0.69,1250.15,1079.0
1253.0,1079.0,0.7,1250.9,1079.0
1253.0,1079.0,0.71,1251.6,1079.0
1253.0,1079.0,0.72,1252.3,1079.0
1251.0,1079.0,0.73,1252.9,1079.0
1251.0,1079.0,0.74,1252.8,1079.0
1251.0,1079.0,0.75,1252.7,1079.0
1250.0,1079.0,0.76,1252.55,1079.0
1250.0,1079.0,0.77,1252.4,1079.0
1250.0,1079.0,0.78,1252.25,1079.0
1248.0,1079.0,0.79,1252.0,1079.0
1248.0,1079.0,0.8,1251.75,1079.0
