x,y,t
1388.0,817.2,0.0
1381.0,821.7,0.01
1381.0,821.7,0.02
1381.0,821.7,0.03
1381.0,821.7,0.04
1381.0,821.7,0.05
1239.0,866.7,0.06
1239.0,866.7,0.07
1239.0,866.7,0.08
1239.0,866.7,0.09
1239.0,866.7,0.1
1224.0,860.4,0.11
1224.0,860.4,0.12
1224.0,860.4,0.13
1224.0,860.4,0.14
1223.0,859.5,0.15
1223.0,859.5,0.16
1223.0,859.5,0.17
1223.0,859.5,0.18
1223.0,859.5,0.19
1221.0,857.7,0.2
1221.0,857.7,0.21
1221.0,857.7,0.22
1221.0,857.7,0.23
1221.0,857.7,0.24
1219.0,853.2,0.25
1219.0,853.2,0.26
1219.0,853.2,0.27
1219.0,853.2,0.28
1219.0,853.2,0.29
1218.0,846.9,0.3
1218.0,846.9,0.31
1218.0,846.9,0.32
1218.0,846.9,0.33
1218.0,846.9,0.34
1218.0,841.5,0.35
1218.0,841.5,0.36
1218.0,841.5,0.37
1218.0,841.5,0.38
1218.0,841.5,0.39
1216.0,839.7,0.4
1216.0,839.7,0.41
1216.0,839.7,0.42
1216.0,839.7,0.43
1093.0,1079.1000000000001,0.44
1093.0,1079.1000000000001,0.45
1093.0,1079.1000000000001,0.46
1093.0,1079.1000000000001,0.47
1218.0,1079.1000000000001,0.48
1218.0,1079.1000000000001,0.49
1218.0,1079.1000000000001,0.5
1218.0,1079.1000000000001,0.51
1218.0,1079.1000000000001,0.52
1494.0,1079.1000000000001,0.53
1494.0,1079.1000000000001,0.54
1494.0,1079.1000000000001,0.55
1494.0,1079.1000000000001,0.56
1446.0,1079.1000000000001,0.57
1446.0,1079.1000000000001,0.58
1446.0,1079.1000000000001,0.59
1446.0,1079.1000000000001,0.6
1446.0,1079.1000000000001,0.61
1446.0,1079.1000000000001,0.62
1446.0,1079.1000000000001,0.63
1334.0,1079.1000000000001,0.64
1334.0,1079.1000000000001,0.65
1334.0,1079.1000000000001,0.66
1334.0,1079.1000000000001,0.67
1314.0,1079.1000000000001,0.68
1314.0,1079.1000000000001,0.69
1314.0,1079.1000000000001,0.7
1314.0,1079.1000000000001,0.71
1314.0,1079.1000000000001,0.72
1310.0,1079.1000000000001,0.73
1310.0,1079.1000000000001,0.74
1310.0,1079.1000000000001,0.75
1310.0,1079.1000000000001,0.76
1274.0,1079.1000000000001,0.77
1274.0,1079.1000000000001,0.78
1274.0,1079.1000000000001,0.79
1274.0,1079.1000000000001,0.8
1274.0,1079.1000000000001,0.81
1273.0,1079.1000000000001,0.82
1273.0,1079.1000000000001,0.83
1273.0,1079.1000000000001,0.84
1273.0,1079.1000000000001,0.85
1273.0,1079.1000000000001,0.86
1271.0,1079.1000000000001,0.87
1271.0,1079.1000000000001,0.88
1271.0,1079.1000000000001,0.89
1271.0,1079.1000000000001,0.9
1271.0,1079.1000000000001,0.91
1268.0,1079.1000000000001,0.92
1268.0,1079.1000000000001,0.93
1268.0,1079.1000000000001,0.94
1268.0,1079.1000000000001,0.95
1268.0,1079.1000000000001,0.96
1254.0,1079.1000000000001,0.97
1254.0,1079.1000000000001,0.98
1254.0,1079.1000000000001,0.99
1254.0,1079.1000000000001,1.0
1246.0,1079.1000000000001,1.01
1246.0,1079.1000000000001,1.02
1246.0,1079.1000000000001,1.03
1246.0,1079.1000000000001,1.04
1240.0,1079.1000000000001,1.05
1240.0,1079.1000000000001,1.06
1240.0,1079.1000000000001,1.07
1240.0,1079.1000000000001,1.08
1233.0,1079.1000000000001,1.09
1233.0,1079.1000000000001,1.1
1233.0,1079.1000000000001,1.11
1233.0,1079.1000000000001,1.12
1233.0,1079.1000000000001,1.13
1229.0,1079.1000000000001,1.14
1229.0,1079.1000000000001,1.15
1229.0,1079.1000000000001,1.16
1229.0,1079.1000000000001,1.17
1229.0,1079.1000000000001,1.18
1225.0,1079.1000000000001,1.19
1225.0,1079.1000000000001,1.2
1225.0,1079.1000000000001,1.21
1225.0,1079.1000000000001,1.22
1211.0,1079.1000000000001,1.23
1211.0,1079.1000000000001,1.24
1211.0,1079.1000000000001,1.25
1211.0,1079.1000000000001,1.26
1211.0,1079.1000000000001,1.27
1211.0,1079.1000000000001,1.28
1206.0,1079.1000000000001,1.29
1206.0,1079.1000000000001,1.3
1206.0,1079.1000000000001,1.31
1206.0,1079.1000000000001,1.32
1206.0,1079.1000000000001,1.33
1199.0,1079.1000000000001,1.34
1199.0,1079.1000000000001,1.35
1199.0,1079.1000000000001,1.36
1199.0,1079.1000000000001,1.37
1190.0,1079.1000000000001,1.38
1190.0,1079.1000000000001,1.39
1190.0,1079.1000000000001,1.4
1190.0,1079.1000000000001,1.41
1190.0,1079.1000000000001,1.42
1183.0,1079.1000000000001,1.43
1183.0,1079.1000000000001,1.44
1183.0,1079.1000000000001,1.45
1183.0,1079.1000000000001,1.46
1183.0,1079.1000000000001,1.47
1178.0,1079.1000000000001,1.48
1178.0,1079.1000000000001,1.49
1178.0,1079.1000000000001,1.5
1178.0,1079.1000000000001,1.51
1178.0,1079.1000000000001,1.52
1174.0,1079.1000000000001,1.53
1174.0,1079.1000000000001,1.54
1174.0,1079.1000000000001,1.55
1174.0,1079.1000000000001,1.56
1169.0,1079.1000000000001,1.57
1169.0,1079.1000000000001,1.58
1169.0,1079.1000000000001,1.59
1169.0,1079.1000000000001,1.6
1163.0,1079.1000000000001,1.61
1163.0,1079.1000000000001,1.62
1163.0,1079.1000000000001,1.63
1163.0,1079.1000000000001,1.64
1163.0,1079.1000000000001,1.65
1163.0,1079.1000000000001,1.66
1155.0,1079.1000000000001,1.67
1155.0,1079.1000000000001,1.68
1155.0,1079.1000000000001,1.69
1155.0,1079.1000000000001,1.7
1155.0,1079.1000000000001,1.71
1149.0,1079.1000000000001,1.72
1149.0,1079.1000000000001,1.73
1149.0,1079.1000000000001,1.74
1149.0,1079.1000000000001,1.75
1149.0,1079.1000000000001,1.76
1144.0,1079.1000000000001,1.77
1144.0,1079.1000000000001,1.78
1144.0,1079.1000000000001,1.79
1144.0,1079.1000000000001,1.8
1141.0,1079.1000000000001,1.81
1141.0,1079.1000000000001,1.82
1141.0,1079.1000000000001,1.83
1141.0,1079.1000000000001,1.84
1141.0,1079.1000000000001,1.85
1308.0,1079.1000000000001,1.86
1308.0,1079.1000000000001,1.87
1308.0,1079.1000000000001,1.88
1308.0,1079.1000000000001,1.89
1296.0,1079.1000000000001,1.9
1296.0,1079.1000000000001,1.91
1296.0,1079.1000000000001,1.92
1296.0,1079.1000000000001,1.93
1296.0,1079.1000000000001,1.94
1195.0,1079.1000000000001,1.95
1195.0,1079.1000000000001,1.96
1195.0,1079.1000000000001,1.97
1195.0,1079.1000000000001,1.98
1195.0,1079.1000000000001,1.99
1195.0,1079.1000000000001,2.0
1195.0,1079.1000000000001,2.01
1195.0,1079.1000000000001,2.02
1195.0,1079.1000000000001,2.03
1195.0,1079.1000000000001,2.04
1195.0,1079.1000000000001,2.05
1195.0,1079.1000000000001,2.06
1195.0,1079.1000000000001,2.07
1195.0,1079.1000000000001,2.08
1195.0,1079.1000000000001,2.09
1195.0,1079.1000000000001,2.1
1195.0,1079.1000000000001,2.11
1195.0,1079.1000000000001,2.12
1196.0,1079.1000000000001,2.13
1196.0,1079.1000000000001,2.14
1196.0,1079.1000000000001,2.15
1196.0,1079.1000000000001,2.16
1196.0,1079.1000000000001,2.17
1198.0,1079.1000000000001,2.18
1198.0,1079.1000000000001,2.19
1198.0,1079.1000000000001,2.2
1198.0,1079.1000000000001,2.21
1198.0,1079.1000000000001,2.22
1198.0,1079.1000000000001,2.23
1198.0,1079.1000000000001,2.24
1198.0,1079.1000000000001,2.25
1198.0,1079.1000000000001,2.26
1196.0,1079.1000000000001,2.27
1196.0,1079.1000000000001,2.28
1196.0,1079.1000000000001,2.29
1196.0,1079.1000000000001,2.3
1196.0,1079.1000000000001,2.31
1195.0,1079.1000000000001,2.32
1195.0,1079.1000000000001,2.33
1195.0,1079.1000000000001,2.34
1195.0,1079.1000000000001,2.35
1195.0,1079.1000000000001,2.36
1195.0,1079.1000000000001,2.37
1194.0,1079.1000000000001,2.38
1194.0,1079.1000000000001,2.39
1194.0,1079.1000000000001,2.4
1194.0,1079.1000000000001,2.41
1194.0,1079.1000000000001,2.42
1194.0,1079.1000000000001,2.43
1194.0,1079.1000000000001,2.44
1194.0,1079.1000000000001,2.45
1194.0,1079.1000000000001,2.46
1196.0,1079.1000000000001,2.47
1196.0,1079.1000000000001,2.48
1196.0,1079.1000000000001,2.49
1196.0,1079.1000000000001,2.5
1196.0,1079.1000000000001,2.51
1200.0,1079.1000000000001,2.52
1200.0,1079.1000000000001,2.53
1200.0,1079.1000000000001,2.54
1200.0,1079.1000000000001,2.55
1205.0,1079.1000000000001,2.56
1205.0,1079.1000000000001,2.57
1205.0,1079.1000000000001,2.58
1205.0,1079.1000000000001,2.59
1205.0,1079.1000000000001,2.6
1210.0,1079.1000000000001,2.61
1210.0,1079.1000000000001,2.62
1210.0,1079.1000000000001,2.63
1210.0,1079.1000000000001,2.64
1221.0,1079.1000000000001,2.65
1221.0,1079.1000000000001,2.66
1221.0,1079.1000000000001,2.67
1221.0,1079.1000000000001,2.68
1221.0,1079.1000000000001,2.69
1221.0,1079.1000000000001,2.7
1231.0,1079.1000000000001,2.71
1231.0,1079.1000000000001,2.72
1231.0,1079.1000000000001,2.73
1231.0,1079.1000000000001,2.74
1231.0,1079.1000000000001,2.75
1251.0,1079.1000000000001,2.76
1251.0,1079.1000000000001,2.77
1251.0,1079.1000000000001,2.78
1251.0,1079.1000000000001,2.79
1251.0,1079.1000000000001,2.8
1256.0,1079.1000000000001,2.81
1256.0,1079.1000000000001,2.82
1256.0,1079.1000000000001,2.83
1256.0,1079.1000000000001,2.84
1263.0,1079.1000000000001,2.85
1263.0,1079.1000000000001,2.86
1263.0,1079.1000000000001,2.87
1263.0,1079.1000000000001,2.88
1263.0,1079.1000000000001,2.89
1269.0,1079.1000000000001,2.9
1269.0,1079.1000000000001,2.91
1269.0,1079.1000000000001,2.92
1269.0,1079.1000000000001,2.93
1274.0,1079.1000000000001,2.94
1274.0,1079.1000000000001,2.95
1274.0,1079.1000000000001,2.96
1274.0,1079.1000000000001,2.97
1274.0,1079.1000000000001,2.98
1274.0,1079.1000000000001,2.99
1276.0,1079.1000000000001,3.0
1276.0,1079.1000000000001,3.01
1276.0,1079.1000000000001,3.02
1278.0,1079.1000000000001,3.03
1278.0,1079.1000000000001,3.04
1278.0,1079.1000000000001,3.05
1278.0,1079.1000000000001,3.06
1278.0,1079.1000000000001,3.07
1278.0,1079.1000000000001,3.08
1279.0,1079.1000000000001,3.09
1279.0,1079.1000000000001,3.1
1279.0,1079.1000000000001,3.11
1279.0,1079.1000000000001,3.12
1279.0,1079.1000000000001,3.13
1279.0,1079.1000000000001,3.14
1279.0,1079.1000000000001,3.15
1279.0,1079.1000000000001,3.16
1276.0,1079.1000000000001,3.17
1276.0,1079.1000000000001,3.18
