x,y,t
985.0,720.0,0.0
989.0,722.7,0.01
989.0,722.7,0.02
989.0,722.7,0.03
994.0,724.5,0.04
994.0,724.5,0.05
994.0,724.5,0.06
999.0,727.2,0.07
999.0,727.2,0.08
999.0,727.2,0.09
1004.0,728.1,0.1
1004.0,728.1,0.11
1004.0,728.1,0.12
1008.0,729.0,0.13
1008.0,729.0,0.14
1008.0,729.0,0.15
1013.0,729.9,0.16
1013.0,729.9,0.17
1013.0,729.9,0.18
1018.0,729.9,0.19
1018.0,729.9,0.2
1018.0,729.9,0.21
1023.0,729.0,0.22
1023.0,729.0,0.23
1023.0,729.0,0.24
1028.0,728.1,0.25
1028.0,728.1,0.26
1028.0,728.1,0.27
1033.0,727.2,0.28
1033.0,727.2,0.29
1033.0,727.2,0.3
1033.0,727.2,0.31
1033.0,727.2,0.32
1038.0,725.4,0.33
1038.0,725.4,0.34
1038.0,725.4,0.35
1043.0,724.5,0.36
1043.0,724.5,0.37
1043.0,724.5,0.38
1046.0,723.6,0.39
1046.0,723.6,0.4
1046.0,723.6,0.41
1049.0,722.7,0.42
1049.0,722.7,0.43
1049.0,722.7,0.44
1051.0,720.9,0.45
1051.0,720.9,0.46
1051.0,720.9,0.47
1054.0,720.0,0.48
1054.0,720.0,0.49
1054.0,720.0,0.5
1056.0,719.1,0.51
1056.0,719.1,0.52
1056.0,719.1,0.53
1059.0,718.2,0.54
1059.0,718.2,0.55
1059.0,718.2,0.56
1061.0,718.2,0.57
1061.0,718.2,0.58
1061.0,718.2,0.59
1063.0,718.2,0.6
1063.0,718.2,0.61
1063.0,718.2,0.62
1064.0,718.2,0.63
1064.0,718.2,0.64
1064.0,718.2,0.65
1065.0,718.2,0.66
1065.0,718.2,0.67
1065.0,718.2,0.68
1065.0,718.2,0.69
1065.0,718.2,0.7
1069.0,718.2,0.71
1069.0,718.2,0.72
1069.0,718.2,0.73
1395.0,758.7,0.74
1395.0,758.7,0.75
1395.0,758.7,0.76
1415.0,777.6,0.77
1415.0,777.6,0.78
1415.0,777.6,0.79
1424.0,779.4,0.8
1424.0,779.4,0.81
1424.0,779.4,0.82
1424.0,779.4,0.83
1429.0,779.4,0.84
1429.0,779.4,0.85
1438.0,778.5,0.86
1438.0,778.5,0.87
1438.0,778.5,0.88
1438.0,778.5,0.89
1439.0,777.6,0.9
1439.0,777.6,0.91
1439.0,777.6,0.92
1450.0,773.1,0.93
1450.0,773.1,0.94
1450.0,773.1,0.95
1460.0,768.6,0.96
1460.0,768.6,0.97
1460.0,768.6,0.98
1470.0,767.7,0.99
1470.0,767.7,1.0
1473.0,765.9,1.01
1473.0,765.9,1.02
1473.0,765.9,1.03
1473.0,765.9,1.04
1473.0,765.9,1.05
1473.0,765.0,1.06
1473.0,765.0,1.07
1473.0,765.0,1.08
1473.0,764.1,1.09
1473.0,764.1,1.1
1473.0,764.1,1.11
1529.0,729.9,1.12
1529.0,729.9,1.13
1529.0,729.9,1.14
1611.0,707.4,1.15
1611.0,707.4,1.16
1611.0,707.4,1.17
1693.0,642.6,1.18
1693.0,642.6,1.19
1693.0,642.6,1.2
1803.0,594.0,1.21
1803.0,594.0,1.22
1803.0,594.0,1.23
1915.0,544.5,1.24
1915.0,544.5,1.25
1915.0,544.5,1.26
1919.0,530.1,1.27
1919.0,530.1,1.28
1919.0,530.1,1.29
1919.0,516.6,1.3
1919.0,516.6,1.31
1919.0,516.6,1.32
1919.0,410.40000000000003,1.33
1919.0,410.40000000000003,1.34
1919.0,410.40000000000003,1.35
1919.0,326.7,1.36
1919.0,326.7,1.37
1919.0,326.7,1.38
1919.0,326.7,1.39
1919.0,326.7,1.4
1919.0,322.2,1.41
1919.0,322.2,1.42
