x,y,t
1061.0,791.0,0.0
1062.0,791.0,0.01
1062.0,791.0,0.02
1062.0,791.0,0.03
1064.0,791.0,0.04
1064.0,791.0,0.05
1064.0,791.0,0.06
1065.0,791.0,0.07
1065.0,791.0,0.08
1065.0,791.0,0.09
1067.0,791.0,0.1
1067.0,791.0,0.11
1067.0,791.0,0.12
1068.0,791.0,0.13
1068.0,791.0,0.14
1068.0,791.0,0.15
1068.0,791.0,0.16
1068.0,791.0,0.17
1070.0,791.0,0.18
1070.0,791.0,0.19
1070.0,791.0,0.2
1070.0,791.0,0.21
1070.0,791.0,0.22
1070.0,791.0,0.23
1070.0,791.0,0.24
1070.0,791.0,0.25
1070.0,791.0,0.26
1070.0,792.0,0.27
1070.0,792.0,0.28
1070.0,792.0,0.29
1070.0,792.0,0.3
1070.0,792.0,0.31
1070.0,792.0,0.32
1070.0,792.0,0.33
1070.0,792.0,0.34
1070.0,792.0,0.35
1070.0,792.0,0.36
1070.0,792.0,0.37
1070.0,792.0,0.38
1070.0,792.0,0.39
1068.0,792.0,0.4
1068.0,792.0,0.41
1068.0,794.0,0.42
1068.0,794.0,0.43
1068.0,794.0,0.44
1070.0,801.0,0.45
1070.0,801.0,0.46
1070.0,801.0,0.47
1103.0,1031.0,0.48
1103.0,1031.0,0.49
1103.0,1031.0,0.5
1103.0,1031.0,0.51
1073.0,1073.0,0.52
1073.0,1073.0,0.53
1073.0,1073.0,0.54
1073.0,1073.0,0.55
1073.0,1073.0,0.56
1109.0,1071.0,0.57
1109.0,1071.0,0.58
1116.0,1058.0,0.59
1116.0,1058.0,0.6
1116.0,1058.0,0.61
1140.0,612.0,0.62
1140.0,612.0,0.63
1140.0,612.0,0.64
1191.0,351.0,0.65
1191.0,351.0,0.66
1191.0,351.0,0.67
1191.0,351.0,0.68
1212.0,272.0,0.69
1212.0,272.0,0.7
1283.0,141.0,0.71
1283.0,141.0,0.72
1283.0,141.0,0.73
1304.0,105.0,0.74
1304.0,105.0,0.75
1304.0,105.0,0.76
1304.0,105.0,0.77
1337.0,42.0,0.78
1337.0,42.0,0.79
1329.0,50.0,0.8
1329.0,50.0,0.81
1329.0,50.0,0.82
1328.0,50.0,0.83
1328.0,50.0,0.84
1328.0,50.0,0.85
1328.0,50.0,0.86
1325.0,50.0,0.87
1325.0,50.0,0.88
1325.0,50.0,0.89
1325.0,50.0,0.9
1320.0,51.0,0.91
1320.0,51.0,0.92
1320.0,51.0,0.93
1314.0,54.0,0.94
1314.0,54.0,0.95
1314.0,54.0,0.96
1308.0,59.0,0.97
1308.0,59.0,0.98
1308.0,59.0,0.99
1296.0,68.0,1.0
1296.0,68.0,1.01
1292.0,72.0,1.02
1292.0,72.0,1.03
1292.0,72.0,1.04
1287.0,77.0,1.05
1287.0,77.0,1.06
1287.0,77.0,1.07
1287.0,77.0,1.08
1281.0,81.0,1.09
1281.0,81.0,1.1
1281.0,81.0,1.11
1032.0,717.0,1.12
1032.0,717.0,1.13
1032.0,717.0,1.14
1094.0,924.0,1.15
1094.0,924.0,1.16
1094.0,924.0,1.17
1094.0,924.0,1.18
1089.0,914.0,1.19
1089.0,914.0,1.2
1089.0,914.0,1.21
1089.0,914.0,1.22
1068.0,893.0,1.23
1068.0,893.0,1.24
1059.0,878.0,1.25
1059.0,878.0,1.26
1059.0,878.0,1.27
1058.0,876.0,1.28
1058.0,876.0,1.29
1058.0,876.0,1.3
1056.0,875.0,1.31
1056.0,875.0,1.32
1056.0,875.0,1.33
1055.0,873.0,1.34
1055.0,873.0,1.35
