x,y,t,x_avg,y_avg
1017.0,746.0,0.0,1017.0,741.2
1017.0,746.0,0.01,1017.0,740.45
1017.0,746.0,0.02,1017.0,739.7
1017.0,746.0,0.03,1017.0,738.95
1017.0,746.0,0.04,1017.0,738.2
1017.0,744.0,0.05,1017.0,737.45
1017.0,744.0,0.06,1017.0,736.65
1017.0,744.0,0.07,1017.0,735.85
1017.0,743.0,0.08,1017.0,735.05
1017.0,743.0,0.09,1017.0,734.15
1017.0,743.0,0.1,1017.0,733.25
1017.0,740.0,0.11,1017.0,732.35
1017.0,740.0,0.12,1017.0,731.6
1017.0,740.0,0.13,1017.0,730.85
1017.0,737.0,0.14,1017.0,729.95
1017.0,737.0,0.15,1017.0,729.2
1017.0,737.0,0.16,1017.0,728.45
1017.0,734.0,0.17,1017.0,727.6
1017.0,734.0,0.18,1017.0,726.9
1017.0,734.0,0.19,1017.0,741.2
1017.0,731.0,0.2,1017.0,740.45
1017.0,731.0,0.21,1017.0,739.7
1017.0,731.0,0.22,1017.0,738.95
1017.0,731.0,0.23,1017.0,738.2
1017.0,731.0,0.24,1017.0,737.45
1017.0,728.0,0.25,1017.0,736.65
1017.0,728.0,0.26,1017.0,735.85
1017.0,728.0,0.27,1017.0,735.05
1017.0,725.0,0.28,1017.0,734.15
1017.0,725.0,0.29,1017.0,733.25
1017.0,725.0,0.3,1017.0,732.35
1017.0,725.0,0.31,1017.0,731.6
1017.0,725.0,0.32,1017.0,730.85
1017.0,722.0,0.33,1017.0,729.95
1017.0,722.0,0.34,1017.0,729.2
1017.0,722.0,0.35,1017.0,728.45
1017.0,720.0,0.36,1017.0,727.6
1017.0,720.0,0.37,1017.0,726.9
1017.0,719.0,0.38,1017.0,726.15
1017.0,719.0,0.39,1017.0,725.4
1017.0,719.0,0.4,1017.0,724.8
1017.0,717.0,0.41,1017.0,724.1
1017.0,717.0,0.42,1017.0,723.4
1019.0,717.0,0.43,1017.1,722.7
1019.0,717.0,0.44,1017.2,722.0
1019.0,717.0,0.45,1017.3,721.45
1020.0,717.0,0.46,1017.45,720.9
1020.0,717.0,0.47,1017.6,720.35
1020.0,717.0,0.48,1017.75,719.95
1020.0,716.0,0.49,1017.9,719.5
1020.0,716.0,0.5,1018.05,719.05
1020.0,716.0,0.51,1018.2,718.6
1020.0,716.0,0.52,1018.35,718.15
1020.0,714.0,0.53,1018.5,717.75
1020.0,714.0,0.54,1018.65,717.35
1020.0,713.0,0.55,1018.8,716.9
1020.0,713.0,0.56,1018.95,716.55
1020.0,713.0,0.57,1019.1,716.2
1020.0,713.0,0.58,1019.25,715.9
1020.0,713.0,0.59,1019.4,715.6
1019.0,710.0,0.6,1019.5,715.15
1019.0,710.0,0.61,1019.6,714.8
1019.0,710.0,0.62,1019.7,714.45
1019.0,710.0,0.63,1019.7,714.1
1019.0,710.0,0.64,1019.7,713.75
968.0,386.0,0.65,1017.15,697.2
968.0,386.0,0.66,1014.55,680.65
968.0,386.0,0.67,1011.95,664.1
983.0,327.0,0.68,1010.1,644.6
983.0,327.0,0.69,1008.25,625.15
996.0,279.0,0.7,1007.05,603.3
996.0,279.0,0.71,1005.85,581.45
1020.0,186.0,0.72,1005.85,554.95
1020.0,186.0,0.73,1005.85,528.55
1025.0,158.0,0.74,1006.1,500.75
1025.0,158.0,0.75,1006.35,473.0
1037.0,102.0,0.76,1007.2,442.45
1037.0,102.0,0.77,1008.05,411.9
1037.0,102.0,0.78,1008.9,381.35
1058.0,54.0,0.79,1010.8,348.4
1058.0,54.0,0.8,1012.75,315.6
1058.0,54.0,0.81,1014.7,282.8
1157.0,0.0,0.82,1021.6,247.3
1157.0,0.0,0.83,1028.5,211.8
