x,y,t
809.0,553.5,0.0
804.0,545.4,0.01
804.0,545.4,0.02
804.0,545.4,0.03
804.0,545.4,0.04
800.0,540.0,0.05
800.0,540.0,0.06
800.0,540.0,0.07
800.0,540.0,0.08
799.0,539.1,0.09
799.0,539.1,0.1
799.0,539.1,0.11
798.0,539.1,0.12
798.0,539.1,0.13
798.0,539.1,0.14
811.0,612.0,0.15
811.0,612.0,0.16
811.0,612.0,0.17
810.0,612.9,0.18
810.0,612.9,0.19
810.0,612.9,0.2
810.0,624.6,0.21
810.0,624.6,0.22
810.0,624.6,0.23
811.0,637.2,0.24
811.0,637.2,0.25
811.0,637.2,0.26
820.0,693.0,0.27
820.0,693.0,0.28
820.0,693.0,0.29
823.0,697.5,0.3
823.0,697.5,0.31
823.0,697.5,0.32
828.0,707.4,0.33
828.0,707.4,0.34
828.0,707.4,0.35
830.0,714.6,0.36
830.0,714.6,0.37
830.0,714.6,0.38
830.0,714.6,0.39
830.0,714.6,0.4
831.0,719.1,0.41
831.0,719.1,0.42
831.0,719.1,0.43
833.0,722.7,0.44
833.0,722.7,0.45
833.0,722.7,0.46
833.0,723.6,0.47
833.0,723.6,0.48
833.0,723.6,0.49
839.0,704.7,0.5
839.0,704.7,0.51
839.0,704.7,0.52
906.0,481.5,0.53
906.0,481.5,0.54
906.0,481.5,0.55
918.0,381.6,0.56
918.0,381.6,0.57
918.0,381.6,0.58
916.0,355.5,0.59
916.0,355.5,0.6
916.0,355.5,0.61
909.0,333.90000000000003,0.62
909.0,333.90000000000003,0.63
909.0,333.90000000000003,0.64
908.0,288.90000000000003,0.65
908.0,288.90000000000003,0.66
908.0,288.90000000000003,0.67
908.0,288.90000000000003,0.68
914.0,275.40000000000003,0.69
914.0,275.40000000000003,0.7
948.0,261.0,0.71
948.0,261.0,0.72
948.0,261.0,0.73
948.0,261.0,0.74
948.0,261.0,0.75
1034.0,230.4,0.76
1034.0,230.4,0.77
1034.0,230.4,0.78
1110.0,212.4,0.79
1110.0,212.4,0.8
1110.0,212.4,0.81
1169.0,175.5,0.82
1169.0,175.5,0.83
1169.0,175.5,0.84
1190.0,166.5,0.85
1190.0,166.5,0.86
1190.0,166.5,0.87
1190.0,166.5,0.88
1200.0,162.9,0.89
1200.0,162.9,0.9
1200.0,162.0,0.91
1200.0,162.0,0.92
1200.0,162.0,0.93
1199.0,161.1,0.94
1199.0,161.1,0.95
1199.0,161.1,0.96
1199.0,161.1,0.97
1185.0,156.6,0.98
1185.0,156.6,0.99
1093.0,144.0,1.0
1093.0,144.0,1.01
1089.0,143.1,1.02
1089.0,143.1,1.03
1089.0,143.1,1.04
978.0,103.5,1.05
978.0,103.5,1.06
978.0,103.5,1.07
968.0,90.9,1.08
968.0,90.9,1.09
968.0,90.9,1.1
968.0,90.9,1.11
968.0,90.9,1.12
966.0,90.0,1.13
966.0,90.0,1.14
966.0,90.0,1.15
965.0,86.4,1.16
965.0,86.4,1.17
965.0,86.4,1.18
963.0,79.2,1.19
963.0,79.2,1.2
963.0,79.2,1.21
961.0,70.2,1.22
961.0,70.2,1.23
961.0,70.2,1.24
961.0,62.1,1.25
961.0,62.1,1.26
961.0,62.1,1.27
961.0,62.1,1.28
963.0,54.0,1.29
963.0,54.0,1.3
965.0,40.5,1.31
965.0,40.5,1.32
965.0,40.5,1.33
968.0,32.4,1.34
968.0,32.4,1.35
968.0,32.4,1.36
968.0,32.4,1.37
973.0,18.0,1.38
973.0,18.0,1.39
973.0,18.0,1.4
975.0,13.5,1.41
975.0,13.5,1.42
979.0,9.9,1.43
979.0,9.9,1.44
979.0,9.9,1.45
979.0,9.9,1.46
979.0,9.9,1.47
985.0,7.2,1.48
985.0,7.2,1.49
985.0,7.2,1.5
990.0,4.5,1.51
990.0,4.5,1.52
990.0,4.5,1.53
995.0,3.6,1.54
995.0,3.6,1.55
995.0,3.6,1.56
1003.0,2.7,1.57
1003.0,2.7,1.58
1003.0,2.7,1.59
1010.0,0.9,1.6
1010.0,0.9,1.61
1010.0,0.9,1.62
1018.0,0.0,1.63
1018.0,0.0,1.64
1018.0,0.0,1.65
1024.0,0.0,1.66
1024.0,0.0,1.67
1024.0,0.0,1.68
1029.0,0.0,1.69
1029.0,0.0,1.7
1029.0,0.0,1.71
1033.0,0.0,1.72
1033.0,0.0,1.73
1033.0,0.0,1.74
1033.0,0.0,1.75
1036.0,0.0,1.76
1036.0,0.0,1.77
1036.0,0.0,1.78
1039.0,0.0,1.79
1039.0,0.0,1.8
1039.0,0.0,1.81
1039.0,0.0,1.82
1040.0,0.0,1.83
1040.0,0.0,1.84
1040.0,0.0,1.85
1040.0,0.0,1.86
1040.0,0.0,1.87
1040.0,0.0,1.88
1040.0,0.0,1.89
1040.0,0.0,1.9
1040.0,0.0,1.91
1040.0,0.0,1.92
1040.0,0.0,1.93
1040.0,0.0,1.94
1041.0,0.0,1.95
1041.0,0.0,1.96
1041.0,0.0,1.97
1043.0,0.0,1.98
1043.0,0.0,1.99
1043.0,0.0,2.0
1044.0,0.0,2.01
1044.0,0.0,2.02
1045.0,0.0,2.03
1045.0,0.0,2.04
1045.0,0.0,2.05
1046.0,0.0,2.06
1046.0,0.0,2.07
1046.0,0.0,2.08
1046.0,0.0,2.09
1046.0,0.0,2.1
1046.0,0.0,2.11
1045.0,0.0,2.12
1045.0,0.0,2.13
1045.0,0.0,2.14
1044.0,0.0,2.15
1044.0,0.0,2.16
1044.0,0.0,2.17
1044.0,0.0,2.18
1044.0,0.0,2.19
1040.0,0.0,2.2
1040.0,0.0,2.21
1040.0,0.0,2.22
1034.0,0.0,2.23
1034.0,0.0,2.24
1034.0,0.0,2.25
915.0,272.7,2.26
915.0,272.7,2.27
915.0,272.7,2.28
916.0,296.1,2.29
916.0,296.1,2.3
916.0,296.1,2.31
916.0,296.1,2.32
921.0,300.6,2.33
921.0,300.6,2.34
921.0,300.6,2.35
924.0,304.2,2.36
924.0,304.2,2.37
924.0,304.2,2.38
921.0,304.2,2.39
921.0,304.2,2.4
921.0,304.2,2.41
920.0,304.2,2.42
920.0,304.2,2.43
920.0,304.2,2.44
920.0,304.2,2.45
920.0,304.2,2.46
921.0,305.1,2.47
921.0,305.1,2.48
921.0,305.1,2.49
926.0,309.6,2.5
926.0,309.6,2.51
926.0,309.6,2.52
926.0,309.6,2.53
926.0,309.6,2.54
933.0,315.0,2.55
933.0,315.0,2.56
933.0,315.0,2.57
1166.0,461.7,2.58
1166.0,461.7,2.59
1166.0,461.7,2.6
1124.0,526.5,2.61
1124.0,526.5,2.62
1124.0,526.5,2.63
1123.0,625.5,2.64
1123.0,625.5,2.65
1123.0,625.5,2.66
1080.0,646.2,2.67
1080.0,646.2,2.68
1080.0,646.2,2.69
1060.0,656.1,2.7
1060.0,656.1,2.71
1060.0,656.1,2.72
1049.0,657.9,2.73
1049.0,657.9,2.74
1049.0,657.9,2.75
1048.0,657.9,2.76
1048.0,657.9,2.77
1048.0,657.9,2.78
1046.0,657.9,2.79
1046.0,657.9,2.8
1046.0,657.9,2.81
1044.0,657.9,2.82
1044.0,657.9,2.83
1044.0,657.9,2.84
1044.0,657.9,2.85
1040.0,659.7,2.86
1040.0,659.7,2.87
1040.0,659.7,2.88
1040.0,659.7,2.89
1035.0,661.5,2.9
1035.0,661.5,2.91
1035.0,661.5,2.92
1014.0,678.6,2.93
1014.0,678.6,2.94
1014.0,678.6,2.95
1010.0,682.2,2.96
1010.0,682.2,2.97
1010.0,682.2,2.98
1006.0,687.6,2.99
1006.0,687.6,3.0
1003.0,693.9,3.01
1003.0,693.9,3.02
1003.0,693.9,3.03
1000.0,700.2,3.04
1000.0,700.2,3.05
1000.0,700.2,3.06
998.0,705.6,3.07
998.0,705.6,3.08
998.0,705.6,3.09
996.0,706.5,3.1
996.0,706.5,3.11
996.0,706.5,3.12
995.0,707.4,3.13
995.0,707.4,3.14
995.0,707.4,3.15
994.0,707.4,3.16
994.0,707.4,3.17
994.0,707.4,3.18
994.0,707.4,3.19
993.0,707.4,3.2
993.0,707.4,3.21
993.0,707.4,3.22
993.0,707.4,3.23
993.0,707.4,3.24
993.0,707.4,3.25
993.0,707.4,3.26
993.0,707.4,3.27
993.0,707.4,3.28
993.0,707.4,3.29
993.0,706.5,3.3
993.0,706.5,3.31
993.0,706.5,3.32
993.0,706.5,3.33
993.0,706.5,3.34
993.0,706.5,3.35
994.0,706.5,3.36
994.0,706.5,3.37
994.0,706.5,3.38
994.0,706.5,3.39
994.0,706.5,3.4
994.0,706.5,3.41
994.0,706.5,3.42
994.0,706.5,3.43
994.0,706.5,3.44
994.0,706.5,3.45
994.0,706.5,3.46
994.0,706.5,3.47
994.0,706.5,3.48
994.0,706.5,3.49
994.0,706.5,3.5
994.0,706.5,3.51
994.0,705.6,3.52
994.0,705.6,3.53
995.0,704.7,3.54
995.0,704.7,3.55
995.0,704.7,3.56
995.0,704.7,3.57
996.0,702.9,3.58
996.0,702.9,3.59
996.0,702.9,3.6
996.0,702.9,3.61
999.0,702.0,3.62
999.0,702.0,3.63
999.0,702.0,3.64
1001.0,700.2,3.65
1001.0,700.2,3.66
1001.0,700.2,3.67
1003.0,698.4,3.68
1003.0,698.4,3.69
1003.0,698.4,3.7
1003.0,697.5,3.71
1003.0,697.5,3.72
1003.0,697.5,3.73
1003.0,696.6,3.74
1003.0,696.6,3.75
1003.0,696.6,3.76
1003.0,696.6,3.77
1003.0,695.7,3.78
1003.0,695.7,3.79
1003.0,695.7,3.8
1003.0,693.9,3.81
1003.0,693.9,3.82
1003.0,693.0,3.83
1003.0,693.0,3.84
1003.0,693.0,3.85
1003.0,693.0,3.86
1003.0,692.1,3.87
1003.0,692.1,3.88
1003.0,692.1,3.89
1003.0,691.2,3.9
1003.0,691.2,3.91
1003.0,691.2,3.92
1004.0,688.5,3.93
1004.0,688.5,3.94
1004.0,688.5,3.95
1004.0,688.5,3.96
1004.0,688.5,3.97
