x,y,t,x_avg,y_avg
1145.0,639.9,0.0,1144.15,639.585
1145.0,639.9,0.01,1143.95,639.495
1145.0,639.9,0.02,1143.7,639.3600000000001
1145.0,639.9,0.03,1143.45,639.2250000000001
1145.0,639.9,0.04,1143.2,639.09
1145.0,639.9,0.05,1142.95,638.9550000000002
1145.0,639.9,0.06,1142.7,638.8200000000002
1145.0,639.9,0.07,1142.4,638.5950000000001
1145.0,639.9,0.08,1142.1,638.3700000000001
1145.0,639.9,0.09,1141.8,638.145
1145.0,639.9,0.1,1141.45,637.92
1145.0,639.9,0.11,1141.1,637.6949999999999
1144.0,639.9,0.12,1140.75,637.4699999999999
1144.0,639.9,0.13,1140.45,637.2449999999999
1144.0,639.9,0.14,1140.15,637.02
1143.0,639.0,0.15,1139.85,636.7949999999998
1143.0,639.0,0.16,1139.6,636.6149999999999
1143.0,639.0,0.17,1139.35,636.4349999999998
1141.0,638.1,0.18,1139.1,636.2549999999999
1141.0,638.1,0.19,1144.15,639.585
1141.0,638.1,0.2,1143.95,639.495
1140.0,637.2,0.21,1143.7,639.3600000000001
1140.0,637.2,0.22,1143.45,639.2250000000001
1140.0,637.2,0.23,1143.2,639.09
1140.0,637.2,0.24,1142.95,638.9550000000002
1140.0,637.2,0.25,1142.7,638.8200000000002
1139.0,635.4,0.26,1142.4,638.5950000000001
1139.0,635.4,0.27,1142.1,638.3700000000001
1139.0,635.4,0.28,1141.8,638.145
1138.0,635.4,0.29,1141.45,637.92
1138.0,635.4,0.3,1141.1,637.6949999999999
1138.0,635.4,0.31,1140.75,637.4699999999999
1138.0,635.4,0.32,1140.45,637.2449999999999
1138.0,635.4,0.33,1140.15,637.02
1138.0,635.4,0.34,1139.85,636.7949999999998
1138.0,635.4,0.35,1139.6,636.6149999999999
1138.0,635.4,0.36,1139.35,636.4349999999998
1138.0,635.4,0.37,1139.1,636.2549999999999
1138.0,638.1,0.38,1138.95,636.2549999999999
1138.0,638.1,0.39,1138.8,636.2549999999999
1138.0,638.1,0.4,1138.65,636.255
1139.0,641.7,0.41,1138.6,636.48
1139.0,641.7,0.42,1138.55,636.7050000000002
1139.0,641.7,0.43,1138.5,636.9300000000001
1140.0,646.2,0.44,1138.5,637.3800000000001
1140.0,646.2,0.45,1138.5,637.8300000000002
1140.0,646.2,0.46,1138.55,638.3700000000001
1143.0,651.6,0.47,1138.75,639.1800000000001
1143.0,651.6,0.48,1138.95,639.9900000000001
1143.0,651.6,0.49,1139.2,640.8000000000001
1145.0,657.9,0.5,1139.55,641.925
1145.0,657.9,0.51,1139.9,643.05
1145.0,657.9,0.52,1140.25,644.175
1148.0,664.2,0.53,1140.75,645.615
1148.0,664.2,0.54,1141.25,647.0550000000001
1148.0,664.2,0.55,1141.75,648.4950000000001
1148.0,664.2,0.56,1142.25,649.9350000000002
1151.0,670.5,0.57,1142.9,651.6900000000002
1151.0,670.5,0.58,1143.55,653.3100000000001
1151.0,670.5,0.59,1144.2,654.9300000000001
1151.0,670.5,0.6,1144.85,656.55
1155.0,675.9,0.61,1145.65,658.26
1155.0,675.9,0.62,1146.45,659.97
1155.0,675.9,0.63,1147.25,661.6800000000001
1159.0,680.4,0.64,1148.2,663.39
1159.0,680.4,0.65,1149.15,665.1
1159.0,680.4,0.66,1150.1,666.81
1161.0,684.9,0.67,1151.0,668.475
1161.0,684.9,0.68,1151.9,670.14
1161.0,684.9,0.69,1152.8,671.805
1161.0,689.4,0.7,1153.6,673.3799999999999
1161.0,689.4,0.71,1154.4,674.9549999999999
1161.0,689.4,0.72,1155.2,676.53
1161.0,693.9,0.73,1155.85,678.015
1161.0,693.9,0.74,1156.5,679.4999999999999
1161.0,693.9,0.75,1157.15,680.9849999999999
1161.0,693.9,0.76,1157.8,682.4699999999999
1159.0,698.4,0.77,1158.2,683.865
1159.0,698.4,0.78,1158.6,685.2599999999999
1154.0,702.0,0.79,1158.75,686.8349999999999
1154.0,702.0,0.8,1158.9,688.41
1154.0,702.0,0.81,1158.85,689.7149999999999
1154.0,702.0,0.82,1158.8,691.02
1143.0,706.5,0.83,1158.2,692.55
1143.0,706.5,0.84,1157.4,693.8549999999999
1143.0,706.5,0.85,1156.6,695.1600000000001
1041.0,714.6,0.86,1150.7,696.87
1041.0,714.6,0.87,1144.7,698.355
1041.0,714.6,0.88,1138.7,699.84
1040.0,713.7,0.89,1132.65,701.2800000000001
1040.0,713.7,0.9,1126.6,702.4950000000001
1040.0,713.7,0.91,1120.55,703.7100000000002
1039.0,711.9,0.92,1114.45,704.8350000000002
1039.0,711.9,0.93,1108.35,705.735
1039.0,711.9,0.94,1102.25,706.635
1041.0,709.2,0.95,1096.25,707.4
1041.0,709.2,0.96,1090.25,708.1650000000001
1041.0,709.2,0.97,1084.35,708.7050000000002
1041.0,709.2,0.98,1078.45,709.2450000000001
1048.0,702.9,0.99,1073.15,709.2900000000002
1048.0,702.9,1.0,1067.85,709.335
1048.0,702.9,1.01,1062.55,709.38
1059.0,696.6,1.02,1057.8,709.11
1059.0,696.6,1.03,1053.6,708.615
1059.0,696.6,1.04,1049.4,708.1200000000001
1070.0,689.4,1.05,1045.75,707.2650000000001
1070.0,689.4,1.06,1047.2,706.005
1070.0,689.4,1.07,1048.65,704.745
1081.0,675.9,1.08,1050.65,702.81
1081.0,675.9,1.09,1052.7,700.92
1081.0,675.9,1.1,1054.75,699.03
1103.0,358.2,1.11,1057.9,681.2549999999999
1103.0,358.2,1.12,1061.1,663.57
1103.0,358.2,1.13,1064.3,645.8850000000001
1154.0,173.70000000000002,1.14,1070.05,618.9750000000001
1154.0,173.70000000000002,1.15,1075.7,592.2
1154.0,173.70000000000002,1.16,1081.35,565.4250000000001
1191.0,162.0,1.17,1088.85,538.0650000000002
1191.0,162.0,1.18,1096.35,510.70500000000004
1191.0,162.0,1.19,1103.5,483.66
1205.0,156.6,1.2,1111.35,456.34499999999997
1205.0,156.6,1.21,1119.2,429.03000000000003
1205.0,156.6,1.22,1126.5,402.03000000000003
1215.0,153.0,1.23,1134.3,374.85
1215.0,153.0,1.24,1142.1,347.67
1215.0,153.0,1.25,1149.35,320.85
1223.0,151.20000000000002,1.26,1157.0,293.94
1223.0,151.20000000000002,1.27,1164.65,267.03
1223.0,151.20000000000002,1.28,1171.75,240.795
1223.0,149.4,1.29,1178.85,214.46999999999994
1223.0,149.4,1.3,1185.95,188.14499999999998
1223.0,149.4,1.31,1191.95,177.70499999999998
1223.0,149.4,1.32,1197.95,167.26500000000001
1223.0,149.4,1.33,1203.95,156.82500000000002
1223.0,148.5,1.34,1207.4,155.56500000000003
1223.0,148.5,1.35,1210.85,154.305
1223.0,148.5,1.36,1214.3,153.04500000000002
1223.0,147.6,1.37,1215.9,152.325
1223.0,147.6,1.38,1217.5,151.605
1223.0,147.6,1.39,1219.1,150.88499999999996
1224.0,146.70000000000002,1.4,1220.05,150.39
1224.0,146.70000000000002,1.41,1221.0,149.89499999999998
1224.0,146.70000000000002,1.42,1221.95,149.39999999999998
1228.0,144.0,1.43,1222.6,148.95
1228.0,144.0,1.44,1223.25,148.49999999999997
1228.0,144.0,1.45,1223.9,148.05
1231.0,140.4,1.46,1224.3,147.51000000000002
1231.0,140.4,1.47,1224.7,146.97000000000003
1231.0,140.4,1.48,1225.1,146.43
1243.0,134.1,1.49,1226.1,145.66500000000002
1243.0,134.1,1.5,1227.1,144.9
1243.0,134.1,1.51,1228.1,144.135
1250.0,128.70000000000002,1.52,1229.45,143.09999999999997
1250.0,128.70000000000002,1.53,1230.8,142.065
1250.0,128.70000000000002,1.54,1232.15,141.075
1258.0,122.4,1.55,1233.9,139.76999999999998
1258.0,122.4,1.56,1235.65,138.465
1258.0,122.4,1.57,1237.4,137.205
1265.0,117.0,1.58,1239.5,135.675
1265.0,117.0,1.59,1241.6,134.14500000000004
1265.0,117.0,1.6,1243.65,132.66000000000003
1270.0,112.5,1.61,1245.95,130.95
1270.0,112.5,1.62,1248.25,129.24
1270.0,112.5,1.63,1250.35,127.665
1278.0,108.0,1.64,1252.85,125.86500000000001
1278.0,108.0,1.65,1255.35,124.06500000000001
1278.0,108.0,1.66,1257.7,122.44500000000001
1278.0,108.0,1.67,1260.05,120.825
1278.0,108.0,1.68,1262.4,119.20500000000001
1284.0,102.6,1.69,1264.45,117.63
1284.0,102.6,1.7,1266.5,116.05499999999999
1284.0,102.6,1.71,1268.55,114.47999999999999
1290.0,98.1,1.72,1270.55,112.94999999999997
1290.0,98.1,1.73,1272.55,111.41999999999999
1290.0,98.1,1.74,1274.55,109.88999999999999
1295.0,93.6,1.75,1276.4,108.44999999999997
1295.0,93.6,1.76,1278.25,107.00999999999999
1295.0,93.6,1.77,1280.1,105.56999999999998
1304.0,88.2,1.78,1282.05,104.12999999999997
1304.0,88.2,1.79,1284.0,102.68999999999998
1304.0,88.2,1.8,1285.95,101.25
1359.0,61.2,1.81,1290.4,98.68500000000002
