x,y,t
1137.0,560.0,0.0
1137.0,560.0,0.01
1137.0,560.0,0.02
1133.0,563.0,0.03
1133.0,563.0,0.04
1133.0,563.0,0.05
1133.0,563.0,0.06
1133.0,563.0,0.07
1125.0,570.0,0.08
1125.0,570.0,0.09
1125.0,570.0,0.1
1116.0,579.0,0.11
1116.0,579.0,0.12
1116.0,579.0,0.13
1107.0,588.0,0.14
1107.0,588.0,0.15
1107.0,588.0,0.16
1100.0,597.0,0.17
1100.0,597.0,0.18
1100.0,597.0,0.19
1089.0,609.0,0.2
1089.0,609.0,0.21
1089.0,609.0,0.22
1014.0,686.0,0.23
1014.0,686.0,0.24
1014.0,686.0,0.25
1013.0,686.0,0.26
1013.0,686.0,0.27
1013.0,686.0,0.28
1008.0,687.0,0.29
1008.0,687.0,0.3
1008.0,687.0,0.31
1008.0,687.0,0.32
999.0,693.0,0.33
999.0,693.0,0.34
990.0,699.0,0.35
990.0,699.0,0.36
990.0,699.0,0.37
983.0,704.0,0.38
983.0,704.0,0.39
983.0,704.0,0.4
971.0,713.0,0.41
971.0,713.0,0.42
971.0,713.0,0.43
971.0,713.0,0.44
971.0,713.0,0.45
963.0,720.0,0.46
963.0,720.0,0.47
963.0,720.0,0.48
957.0,726.0,0.49
957.0,726.0,0.5
957.0,726.0,0.51
948.0,735.0,0.52
948.0,735.0,0.53
948.0,735.0,0.54
936.0,744.0,0.55
936.0,744.0,0.56
936.0,744.0,0.57
923.0,753.0,0.58
923.0,753.0,0.59
923.0,753.0,0.6
909.0,762.0,0.61
909.0,762.0,0.62
909.0,762.0,0.63
897.0,770.0,0.64
897.0,770.0,0.65
897.0,770.0,0.66
890.0,774.0,0.67
890.0,774.0,0.68
890.0,774.0,0.69
885.0,776.0,0.7
885.0,776.0,0.71
885.0,776.0,0.72
885.0,776.0,0.73
882.0,777.0,0.74
882.0,777.0,0.75
881.0,777.0,0.76
881.0,777.0,0.77
881.0,777.0,0.78
881.0,777.0,0.79
881.0,777.0,0.8
879.0,777.0,0.81
879.0,777.0,0.82
879.0,777.0,0.83
879.0,777.0,0.84
879.0,777.0,0.85
879.0,777.0,0.86
879.0,777.0,0.87
879.0,777.0,0.88
879.0,777.0,0.89
879.0,780.0,0.9
879.0,780.0,0.91
879.0,780.0,0.92
878.0,789.0,0.93
878.0,789.0,0.94
878.0,789.0,0.95
878.0,789.0,0.96
876.0,801.0,0.97
876.0,801.0,0.98
876.0,801.0,0.99
875.0,822.0,1.0
876.0,833.0,1.01
876.0,833.0,1.02
876.0,833.0,1.03
878.0,842.0,1.04
878.0,842.0,1.05
878.0,842.0,1.06
879.0,851.0,1.07
879.0,851.0,1.08
879.0,851.0,1.09
879.0,851.0,1.1
879.0,851.0,1.11
879.0,851.0,1.12
882.0,863.0,1.13
882.0,863.0,1.14
882.0,863.0,1.15
887.0,878.0,1.16
887.0,878.0,1.17
890.0,893.0,1.18
890.0,893.0,1.19
890.0,893.0,1.2
896.0,911.0,1.21
896.0,911.0,1.22
896.0,911.0,1.23
902.0,927.0,1.24
902.0,927.0,1.25
