x,y,t
1055.0,741.0,0.0
1055.0,741.0,0.01
1055.0,741.0,0.02
1044.0,750.0,0.03
1044.0,750.0,0.04
1044.0,750.0,0.05
1044.0,750.0,0.06
1035.0,755.0,0.07
1035.0,755.0,0.08
1035.0,755.0,0.09
1026.0,758.0,0.1
1026.0,758.0,0.11
1026.0,758.0,0.12
1020.0,761.0,0.13
1020.0,761.0,0.14
1020.0,761.0,0.15
1014.0,758.0,0.16
1014.0,758.0,0.17
1014.0,758.0,0.18
1014.0,758.0,0.19
1004.0,750.0,0.2
1004.0,750.0,0.21
1004.0,750.0,0.22
998.0,744.0,0.23
998.0,744.0,0.24
998.0,744.0,0.25
998.0,744.0,0.26
993.0,737.0,0.27
993.0,737.0,0.28
993.0,737.0,0.29
987.0,728.0,0.3
987.0,728.0,0.31
987.0,728.0,0.32
983.0,719.0,0.33
983.0,719.0,0.34
983.0,719.0,0.35
980.0,714.0,0.36
980.0,714.0,0.37
980.0,714.0,0.38
980.0,714.0,0.39
977.0,711.0,0.4
977.0,711.0,0.41
977.0,711.0,0.42
975.0,708.0,0.43
975.0,708.0,0.44
974.0,707.0,0.45
974.0,707.0,0.46
974.0,707.0,0.47
972.0,708.0,0.48
972.0,708.0,0.49
972.0,708.0,0.5
969.0,713.0,0.51
969.0,713.0,0.52
969.0,713.0,0.53
968.0,720.0,0.54
968.0,720.0,0.55
966.0,728.0,0.56
966.0,728.0,0.57
966.0,728.0,0.58
966.0,728.0,0.59
966.0,728.0,0.6
966.0,732.0,0.61
966.0,732.0,0.62
966.0,732.0,0.63
968.0,741.0,0.64
968.0,741.0,0.65
968.0,741.0,0.66
969.0,749.0,0.67
969.0,749.0,0.68
969.0,749.0,0.69
969.0,749.0,0.7
969.0,749.0,0.71
366.0,753.0,0.72
366.0,753.0,0.73
366.0,753.0,0.74
324.0,425.0,0.75
324.0,425.0,0.76
342.0,506.0,0.77
342.0,506.0,0.78
342.0,506.0,0.79
315.0,492.0,0.8
315.0,492.0,0.81
315.0,492.0,0.82
311.0,504.0,0.83
311.0,504.0,0.84
311.0,504.0,0.85
312.0,509.0,0.86
312.0,509.0,0.87
306.0,606.0,0.88
306.0,606.0,0.89
306.0,606.0,0.9
306.0,606.0,0.91
305.0,609.0,0.92
305.0,609.0,0.93
305.0,609.0,0.94
305.0,609.0,0.95
296.0,630.0,0.96
296.0,630.0,0.97
296.0,630.0,0.98
248.0,714.0,0.99
255.0,708.0,1.0
255.0,708.0,1.01
267.0,704.0,1.02
267.0,704.0,1.03
267.0,704.0,1.04
273.0,701.0,1.05
273.0,701.0,1.06
273.0,701.0,1.07
279.0,696.0,1.08
279.0,696.0,1.09
279.0,696.0,1.1
