x,y,t
1278.0,1079.0,0.0
1278.0,1079.0,0.01
1278.0,1079.0,0.02
1278.0,1079.0,0.03
1247.0,1079.0,0.04
1247.0,1079.0,0.05
1247.0,1079.0,0.06
1247.0,1079.0,0.07
1239.0,1079.0,0.08
1239.0,1079.0,0.09
1233.0,1079.0,0.1
1233.0,1079.0,0.11
1233.0,1079.0,0.12
1227.0,1079.0,0.13
1227.0,1079.0,0.14
1227.0,1079.0,0.15
1227.0,1079.0,0.16
1223.0,1079.0,0.17
1223.0,1079.0,0.18
1223.0,1079.0,0.19
1223.0,1079.0,0.2
1223.0,1079.0,0.21
1214.0,1079.0,0.22
1214.0,1079.0,0.23
1205.0,1079.0,0.24
1205.0,1079.0,0.25
1205.0,1079.0,0.26
1205.0,1079.0,0.27
1173.0,1079.0,0.28
1173.0,1079.0,0.29
1172.0,1079.0,0.3
1172.0,1079.0,0.31
1172.0,1079.0,0.32
1172.0,1079.0,0.33
1170.0,1079.0,0.34
1170.0,1079.0,0.35
1170.0,1079.0,0.36
1169.0,1079.0,0.37
1169.0,1079.0,0.38
1169.0,1079.0,0.39
1163.0,1079.0,0.4
1163.0,1079.0,0.41
1163.0,1079.0,0.42
1163.0,1079.0,0.43
1163.0,1079.0,0.44
1163.0,1079.0,0.45
1164.0,1079.0,0.46
1164.0,1079.0,0.47
1164.0,1079.0,0.48
1169.0,1079.0,0.49
1169.0,1079.0,0.5
1169.0,1079.0,0.51
1172.0,1079.0,0.52
1172.0,1079.0,0.53
1172.0,1079.0,0.54
1172.0,1079.0,0.55
1172.0,1079.0,0.56
1175.0,1079.0,0.57
1175.0,1079.0,0.58
1175.0,1079.0,0.59
1178.0,1079.0,0.6
1178.0,1079.0,0.61
1178.0,1079.0,0.62
1251.0,1079.0,0.63
1251.0,1079.0,0.64
1251.0,1079.0,0.65
1250.0,1079.0,0.66
1250.0,1079.0,0.67
1250.0,1079.0,0.68
1248.0,1079.0,0.69
1248.0,1079.0,0.7
1248.0,1079.0,0.71
1248.0,1079.0,0.72
1248.0,1079.0,0.73
1248.0,1079.0,0.74
1248.0,1079.0,0.75
1248.0,1079.0,0.76
1248.0,1079.0,0.77
1248.0,1079.0,0.78
1248.0,1079.0,0.79
1248.0,1079.0,0.8
1248.0,1079.0,0.81
1248.0,1079.0,0.82
1247.0,1079.0,0.83
1247.0,1079.0,0.84
1245.0,1079.0,0.85
1245.0,1079.0,0.86
1245.0,1079.0,0.87
1244.0,1079.0,0.88
1244.0,1079.0,0.89
1244.0,1079.0,0.9
1241.0,1079.0,0.91
1241.0,1079.0,0.92
1241.0,1079.0,0.93
1241.0,1079.0,0.94
1241.0,1079.0,0.95
1238.0,1079.0,0.96
1238.0,1079.0,0.97
1238.0,1079.0,0.98
1235.0,1079.0,0.99
1230.0,1079.0,1.0
1230.0,1079.0,1.01
1230.0,1079.0,1.02
1229.0,1079.0,1.03
1229.0,1079.0,1.04
1229.0,1079.0,1.05
1226.0,1079.0,1.06
1226.0,1079.0,1.07
1226.0,1079.0,1.08
1226.0,1079.0,1.09
1223.0,1079.0,1.1
1223.0,1079.0,1.11
1223.0,1079.0,1.12
1220.0,1079.0,1.13
1220.0,1079.0,1.14
1217.0,1079.0,1.15
1217.0,1079.0,1.16
1217.0,1079.0,1.17
1215.0,1079.0,1.18
1215.0,1079.0,1.19
1215.0,1079.0,1.2
1215.0,1079.0,1.21
1217.0,1079.0,1.22
1217.0,1079.0,1.23
1217.0,1079.0,1.24
1217.0,1079.0,1.25
1220.0,1079.0,1.26
1220.0,1079.0,1.27
1220.0,1079.0,1.28
1224.0,1079.0,1.29
1224.0,1079.0,1.3
1224.0,1079.0,1.31
1224.0,1079.0,1.32
1232.0,1079.0,1.33
1232.0,1079.0,1.34
1232.0,1079.0,1.35
1263.0,1079.0,1.36
1263.0,1079.0,1.37
1298.0,1079.0,1.38
1298.0,1079.0,1.39
1298.0,1079.0,1.4
1298.0,1079.0,1.41
1298.0,1079.0,1.42
1299.0,1079.0,1.43
1299.0,1079.0,1.44
1302.0,1079.0,1.45
1302.0,1079.0,1.46
1302.0,1079.0,1.47
1304.0,1079.0,1.48
1304.0,1079.0,1.49
1304.0,1079.0,1.5
1326.0,971.0,1.51
1326.0,971.0,1.52
1326.0,971.0,1.53
1322.0,1010.0,1.54
1322.0,1010.0,1.55
1322.0,1010.0,1.56
1260.0,1079.0,1.57
1260.0,1079.0,1.58
1260.0,1079.0,1.59
1260.0,1079.0,1.6
1260.0,1079.0,1.61
1260.0,1079.0,1.62
1166.0,1079.0,1.63
1166.0,1079.0,1.64
1170.0,1079.0,1.65
1170.0,1079.0,1.66
1170.0,1079.0,1.67
1169.0,1079.0,1.68
1169.0,1079.0,1.69
1169.0,1079.0,1.7
1166.0,1079.0,1.71
1166.0,1079.0,1.72
1166.0,1079.0,1.73
1166.0,1079.0,1.74
1166.0,1079.0,1.75
1166.0,1079.0,1.76
1166.0,1079.0,1.77
1166.0,1079.0,1.78
1166.0,1079.0,1.79
1166.0,1079.0,1.8
1166.0,1079.0,1.81
1166.0,1079.0,1.82
1166.0,1079.0,1.83
1166.0,1079.0,1.84
1166.0,1079.0,1.85
1166.0,1079.0,1.86
1191.0,1079.0,1.87
1191.0,1079.0,1.88
1191.0,1079.0,1.89
1278.0,1079.0,1.9
1278.0,1079.0,1.91
1278.0,1079.0,1.92
1278.0,1079.0,1.93
1278.0,1079.0,1.94
1278.0,1079.0,1.95
1278.0,1077.0,1.96
1278.0,1077.0,1.97
1278.0,1077.0,1.98
1278.0,1077.0,1.99
1277.0,1073.0,2.0
1277.0,1073.0,2.01
1277.0,1073.0,2.02
1275.0,1071.0,2.03
1275.0,1071.0,2.04
1275.0,1071.0,2.05
1274.0,1070.0,2.06
1274.0,1070.0,2.07
1274.0,1070.0,2.08
1274.0,1070.0,2.09
1272.0,1068.0,2.1
1272.0,1068.0,2.11
1272.0,1068.0,2.12
1271.0,1067.0,2.13
1271.0,1067.0,2.14
1271.0,1067.0,2.15
1268.0,1065.0,2.16
1268.0,1065.0,2.17
1268.0,1065.0,2.18
1265.0,1064.0,2.19
1265.0,1064.0,2.2
1265.0,1064.0,2.21
1262.0,1062.0,2.22
1262.0,1062.0,2.23
1262.0,1062.0,2.24
1260.0,1061.0,2.25
1260.0,1061.0,2.26
1260.0,1061.0,2.27
1260.0,1061.0,2.28
1260.0,1061.0,2.29
1257.0,1059.0,2.3
1257.0,1059.0,2.31
1257.0,1059.0,2.32
1254.0,1058.0,2.33
