x,y,t
885.0,666.0,0.0
885.0,666.0,0.01
885.0,666.0,0.02
885.0,666.0,0.03
885.0,666.0,0.04
885.0,659.0,0.05
885.0,659.0,0.06
885.0,659.0,0.07
882.0,648.0,0.08
882.0,648.0,0.09
882.0,648.0,0.1
876.0,635.0,0.11
876.0,635.0,0.12
876.0,635.0,0.13
870.0,624.0,0.14
870.0,624.0,0.15
870.0,624.0,0.16
867.0,620.0,0.17
867.0,620.0,0.18
867.0,620.0,0.19
863.0,612.0,0.2
863.0,612.0,0.21
863.0,612.0,0.22
863.0,612.0,0.23
857.0,603.0,0.24
857.0,603.0,0.25
852.0,597.0,0.26
852.0,597.0,0.27
852.0,597.0,0.28
849.0,593.0,0.29
849.0,593.0,0.3
849.0,593.0,0.31
849.0,593.0,0.32
846.0,590.0,0.33
846.0,590.0,0.34
846.0,590.0,0.35
845.0,587.0,0.36
845.0,587.0,0.37
845.0,587.0,0.38
843.0,584.0,0.39
843.0,584.0,0.4
843.0,584.0,0.41
843.0,584.0,0.42
842.0,581.0,0.43
842.0,581.0,0.44
842.0,581.0,0.45
846.0,575.0,0.46
846.0,575.0,0.47
846.0,575.0,0.48
1487.0,407.0,0.49
1487.0,407.0,0.5
1487.0,407.0,0.51
1527.0,395.0,0.52
1527.0,395.0,0.53
1527.0,395.0,0.54
1527.0,395.0,0.55
1542.0,395.0,0.56
1542.0,395.0,0.57
1551.0,392.0,0.58
1551.0,392.0,0.59
1551.0,392.0,0.6
1551.0,392.0,0.61
1559.0,393.0,0.62
1559.0,393.0,0.63
1559.0,393.0,0.64
1559.0,392.0,0.65
1559.0,392.0,0.66
1559.0,392.0,0.67
1557.0,390.0,0.68
1557.0,390.0,0.69
1557.0,390.0,0.7
1919.0,606.0,0.71
1919.0,606.0,0.72
1919.0,606.0,0.73
1919.0,608.0,0.74
1919.0,608.0,0.75
1919.0,608.0,0.76
1919.0,608.0,0.77
1919.0,591.0,0.78
1919.0,591.0,0.79
1919.0,591.0,0.8
1919.0,581.0,0.81
1919.0,581.0,0.82
1919.0,581.0,0.83
1919.0,575.0,0.84
1919.0,575.0,0.85
1919.0,575.0,0.86
1919.0,575.0,0.87
1919.0,573.0,0.88
1919.0,573.0,0.89
1919.0,573.0,0.9
1919.0,572.0,0.91
1919.0,572.0,0.92
1919.0,572.0,0.93
1919.0,570.0,0.94
1919.0,570.0,0.95
1919.0,570.0,0.96
1919.0,570.0,0.97
1919.0,569.0,0.98
1919.0,569.0,0.99
1919.0,567.0,1.0
1919.0,567.0,1.01
1919.0,567.0,1.02
1919.0,567.0,1.03
1919.0,567.0,1.04
1919.0,569.0,1.05
1919.0,569.0,1.06
1919.0,569.0,1.07
1919.0,569.0,1.08
1919.0,569.0,1.09
1919.0,569.0,1.1
1919.0,569.0,1.11
1919.0,569.0,1.12
1919.0,569.0,1.13
1919.0,569.0,1.14
1919.0,567.0,1.15
1919.0,567.0,1.16
1919.0,567.0,1.17
1919.0,567.0,1.18
1919.0,567.0,1.19
1919.0,567.0,1.2
1919.0,567.0,1.21
1919.0,567.0,1.22
1919.0,567.0,1.23
1919.0,567.0,1.24
1919.0,567.0,1.25
1919.0,567.0,1.26
1919.0,570.0,1.27
1919.0,570.0,1.28
1919.0,570.0,1.29
1919.0,573.0,1.3
1919.0,573.0,1.31
1919.0,573.0,1.32
1919.0,573.0,1.33
1919.0,578.0,1.34
1919.0,578.0,1.35
1919.0,581.0,1.36
1919.0,581.0,1.37
1919.0,581.0,1.38
1919.0,585.0,1.39
1919.0,585.0,1.4
1919.0,585.0,1.41
1919.0,588.0,1.42
1919.0,588.0,1.43
1919.0,588.0,1.44
1919.0,588.0,1.45
1919.0,588.0,1.46
1919.0,591.0,1.47
1919.0,591.0,1.48
1919.0,591.0,1.49
1919.0,593.0,1.5
1919.0,593.0,1.51
1919.0,593.0,1.52
1919.0,594.0,1.53
1919.0,594.0,1.54
1919.0,594.0,1.55
1919.0,594.0,1.56
1919.0,597.0,1.57
1919.0,597.0,1.58
1919.0,602.0,1.59
1919.0,602.0,1.6
1919.0,602.0,1.61
1610.0,731.0,1.62
1610.0,731.0,1.63
1610.0,731.0,1.64
1610.0,731.0,1.65
1610.0,731.0,1.66
1280.0,854.0,1.67
1280.0,854.0,1.68
1253.0,851.0,1.69
1253.0,851.0,1.7
1115.0,783.0,1.71
1115.0,783.0,1.72
1115.0,783.0,1.73
1115.0,783.0,1.74
1091.0,768.0,1.75
1091.0,768.0,1.76
1091.0,768.0,1.77
1083.0,764.0,1.78
1083.0,764.0,1.79
1083.0,764.0,1.8
1083.0,764.0,1.81
1023.0,723.0,1.82
1023.0,723.0,1.83
1023.0,723.0,1.84
1023.0,723.0,1.85
1023.0,723.0,1.86
1023.0,723.0,1.87
1023.0,723.0,1.88
1023.0,723.0,1.89
1023.0,723.0,1.9
1028.0,726.0,1.91
1028.0,726.0,1.92
1028.0,726.0,1.93
1034.0,731.0,1.94
1034.0,731.0,1.95
1034.0,731.0,1.96
1034.0,731.0,1.97
1040.0,734.0,1.98
1040.0,734.0,1.99
1044.0,738.0,2.0
1044.0,738.0,2.01
1044.0,738.0,2.02
1046.0,738.0,2.03
1046.0,738.0,2.04
1046.0,738.0,2.05
1047.0,738.0,2.06
1047.0,738.0,2.07
1049.0,738.0,2.08
1049.0,738.0,2.09
1049.0,738.0,2.1
1049.0,738.0,2.11
1049.0,738.0,2.12
1049.0,738.0,2.13
1050.0,738.0,2.14
1050.0,738.0,2.15
1053.0,740.0,2.16
1053.0,740.0,2.17
1053.0,740.0,2.18
1058.0,741.0,2.19
1058.0,741.0,2.2
1058.0,741.0,2.21
1062.0,743.0,2.22
1062.0,743.0,2.23
1062.0,743.0,2.24
1062.0,743.0,2.25
1068.0,746.0,2.26
1068.0,746.0,2.27
1068.0,746.0,2.28
1071.0,749.0,2.29
1071.0,749.0,2.3
1074.0,752.0,2.31
1074.0,752.0,2.32
1074.0,752.0,2.33
1074.0,752.0,2.34
1077.0,755.0,2.35
1077.0,755.0,2.36
1080.0,758.0,2.37
1080.0,758.0,2.38
1080.0,758.0,2.39
1080.0,758.0,2.4
1082.0,761.0,2.41
1082.0,761.0,2.42
1083.0,764.0,2.43
1083.0,764.0,2.44
1083.0,764.0,2.45
1083.0,764.0,2.46
1086.0,768.0,2.47
1086.0,768.0,2.48
1086.0,768.0,2.49
1086.0,768.0,2.5
1088.0,774.0,2.51
1088.0,774.0,2.52
1088.0,774.0,2.53
1089.0,782.0,2.54
1089.0,782.0,2.55
1089.0,782.0,2.56
1091.0,791.0,2.57
1091.0,791.0,2.58
1091.0,791.0,2.59
1091.0,798.0,2.6
1091.0,798.0,2.61
1091.0,798.0,2.62
1091.0,804.0,2.63
1091.0,804.0,2.64
1091.0,804.0,2.65
1091.0,804.0,2.66
1091.0,809.0,2.67
1091.0,809.0,2.68
1091.0,809.0,2.69
1091.0,812.0,2.7
1091.0,812.0,2.71
1091.0,813.0,2.72
1091.0,813.0,2.73
1091.0,813.0,2.74
1091.0,813.0,2.75
1091.0,813.0,2.76
1091.0,813.0,2.77
1091.0,813.0,2.78
1091.0,813.0,2.79
1091.0,813.0,2.8
1091.0,813.0,2.81
1091.0,813.0,2.82
1091.0,813.0,2.83
1091.0,813.0,2.84
1091.0,813.0,2.85
1091.0,813.0,2.86
1091.0,813.0,2.87
1091.0,813.0,2.88
1091.0,813.0,2.89
1091.0,813.0,2.9
1091.0,813.0,2.91
1091.0,812.0,2.92
1091.0,812.0,2.93
1091.0,812.0,2.94
1091.0,810.0,2.95
1091.0,810.0,2.96
1091.0,810.0,2.97
1091.0,810.0,2.98
1091.0,809.0,2.99
1104.0,812.0,3.0
1104.0,812.0,3.01
1104.0,812.0,3.02
1104.0,812.0,3.03
1112.0,810.0,3.04
1112.0,810.0,3.05
1112.0,809.0,3.06
1112.0,809.0,3.07
1112.0,809.0,3.08
1110.0,803.0,3.09
1110.0,803.0,3.1
1110.0,803.0,3.11
1110.0,803.0,3.12
1110.0,803.0,3.13
1106.0,795.0,3.14
1106.0,795.0,3.15
1106.0,795.0,3.16
1101.0,789.0,3.17
1101.0,789.0,3.18
1101.0,789.0,3.19
1100.0,786.0,3.2
1100.0,786.0,3.21
1100.0,786.0,3.22
1100.0,786.0,3.23
1098.0,785.0,3.24
1098.0,785.0,3.25
1097.0,785.0,3.26
1097.0,785.0,3.27
1097.0,785.0,3.28
1095.0,785.0,3.29
1095.0,785.0,3.3
1095.0,785.0,3.31
1095.0,785.0,3.32
1095.0,785.0,3.33
1095.0,785.0,3.34
1095.0,786.0,3.35
1095.0,786.0,3.36
1095.0,786.0,3.37
1095.0,786.0,3.38
1098.0,791.0,3.39
1098.0,791.0,3.4
1101.0,795.0,3.41
1101.0,795.0,3.42
1101.0,795.0,3.43
1101.0,795.0,3.44
1101.0,797.0,3.45
1101.0,797.0,3.46
1101.0,797.0,3.47
1101.0,797.0,3.48
1101.0,797.0,3.49
1101.0,797.0,3.5
1101.0,798.0,3.51
1101.0,798.0,3.52
1101.0,798.0,3.53
1101.0,798.0,3.54
1101.0,798.0,3.55
1104.0,806.0,3.56
1104.0,806.0,3.57
1104.0,806.0,3.58
1109.0,815.0,3.59
1109.0,815.0,3.6
1113.0,822.0,3.61
1113.0,822.0,3.62
1113.0,822.0,3.63
1116.0,827.0,3.64
1116.0,827.0,3.65
1116.0,827.0,3.66
1116.0,827.0,3.67
1118.0,830.0,3.68
1118.0,830.0,3.69
1118.0,830.0,3.7
1119.0,830.0,3.71
1119.0,830.0,3.72
1119.0,830.0,3.73
1119.0,830.0,3.74
1119.0,830.0,3.75
1119.0,830.0,3.76
1119.0,830.0,3.77
1119.0,830.0,3.78
1119.0,830.0,3.79
1119.0,828.0,3.8
1119.0,828.0,3.81
1119.0,828.0,3.82
1119.0,827.0,3.83
1119.0,827.0,3.84
1119.0,827.0,3.85
1119.0,825.0,3.86
1119.0,825.0,3.87
1119.0,825.0,3.88
1119.0,825.0,3.89
1119.0,824.0,3.9
1119.0,824.0,3.91
1119.0,824.0,3.92
1119.0,822.0,3.93
1119.0,822.0,3.94
1119.0,822.0,3.95
1119.0,822.0,3.96
1119.0,821.0,3.97
1119.0,821.0,3.98
1119.0,821.0,3.99
