x,y,t
1089.0,575.0,0.0
1089.0,575.0,0.01
1089.0,575.0,0.02
1089.0,572.0,0.03
1089.0,572.0,0.04
1089.0,572.0,0.05
1089.0,569.0,0.06
1089.0,569.0,0.07
1089.0,569.0,0.08
1089.0,566.0,0.09
1089.0,566.0,0.1
1089.0,566.0,0.11
1089.0,563.0,0.12
1089.0,563.0,0.13
1089.0,563.0,0.14
1089.0,560.0,0.15
1089.0,560.0,0.16
1089.0,560.0,0.17
1088.0,557.0,0.18
1088.0,557.0,0.19
1088.0,557.0,0.2
1086.0,554.0,0.21
1086.0,554.0,0.22
1086.0,554.0,0.23
1086.0,554.0,0.24
1085.0,551.0,0.25
1085.0,551.0,0.26
1085.0,551.0,0.27
1085.0,551.0,0.28
1083.0,548.0,0.29
1083.0,548.0,0.3
1083.0,548.0,0.31
1082.0,545.0,0.32
1082.0,545.0,0.33
1082.0,545.0,0.34
1082.0,545.0,0.35
1079.0,542.0,0.36
1079.0,542.0,0.37
1076.0,539.0,0.38
1076.0,539.0,0.39
1076.0,539.0,0.4
1073.0,537.0,0.41
1073.0,537.0,0.42
1073.0,537.0,0.43
1071.0,536.0,0.44
1071.0,536.0,0.45
1071.0,536.0,0.46
1071.0,536.0,0.47
1071.0,536.0,0.48
1070.0,534.0,0.49
1070.0,534.0,0.5
1068.0,533.0,0.51
1068.0,533.0,0.52
1064.0,525.0,0.53
1064.0,525.0,0.54
1064.0,525.0,0.55
1029.0,192.0,0.56
1029.0,192.0,0.57
1029.0,192.0,0.58
1020.0,165.0,0.59
1020.0,165.0,0.6
1020.0,165.0,0.61
1020.0,165.0,0.62
1020.0,165.0,0.63
1011.0,153.0,0.64
1011.0,153.0,0.65
1011.0,153.0,0.66
1007.0,141.0,0.67
1007.0,141.0,0.68
1007.0,141.0,0.69
1005.0,140.0,0.7
1005.0,140.0,0.71
1005.0,140.0,0.72
1005.0,137.0,0.73
1005.0,137.0,0.74
1005.0,137.0,0.75
1004.0,132.0,0.76
1004.0,132.0,0.77
1004.0,132.0,0.78
1004.0,132.0,0.79
1004.0,128.0,0.8
1004.0,128.0,0.81
1004.0,128.0,0.82
1002.0,116.0,0.83
1002.0,116.0,0.84
1002.0,116.0,0.85
1001.0,77.0,0.86
1001.0,77.0,0.87
1001.0,77.0,0.88
1001.0,65.0,0.89
1001.0,65.0,0.9
1001.0,65.0,0.91
1001.0,47.0,0.92
1001.0,47.0,0.93
1001.0,47.0,0.94
1001.0,29.0,0.95
1001.0,29.0,0.96
1001.0,29.0,0.97
1001.0,29.0,0.98
1001.0,29.0,0.99
1001.0,15.0,1.0
1001.0,15.0,1.01
1001.0,15.0,1.02
1001.0,15.0,1.03
1001.0,14.0,1.04
1001.0,14.0,1.05
1001.0,14.0,1.06
1001.0,12.0,1.07
1001.0,12.0,1.08
1001.0,12.0,1.09
1007.0,0.0,1.1
1007.0,0.0,1.11
1007.0,0.0,1.12
1005.0,0.0,1.13
1005.0,0.0,1.14
1005.0,0.0,1.15
1005.0,0.0,1.16
1004.0,0.0,1.17
1004.0,0.0,1.18
993.0,0.0,1.19
993.0,0.0,1.2
993.0,0.0,1.21
989.0,0.0,1.22
989.0,0.0,1.23
989.0,0.0,1.24
983.0,0.0,1.25
983.0,0.0,1.26
983.0,0.0,1.27
977.0,0.0,1.28
977.0,0.0,1.29
977.0,0.0,1.3
977.0,0.0,1.31
977.0,0.0,1.32
972.0,0.0,1.33
972.0,0.0,1.34
972.0,0.0,1.35
972.0,0.0,1.36
968.0,0.0,1.37
968.0,0.0,1.38
968.0,0.0,1.39
963.0,0.0,1.4
963.0,0.0,1.41
960.0,0.0,1.42
960.0,0.0,1.43
960.0,0.0,1.44
957.0,0.0,1.45
957.0,0.0,1.46
957.0,0.0,1.47
954.0,0.0,1.48
954.0,0.0,1.49
954.0,0.0,1.5
951.0,0.0,1.51
951.0,0.0,1.52
951.0,0.0,1.53
948.0,0.0,1.54
948.0,0.0,1.55
948.0,0.0,1.56
945.0,0.0,1.57
945.0,0.0,1.58
945.0,0.0,1.59
945.0,0.0,1.6
942.0,0.0,1.61
942.0,0.0,1.62
939.0,0.0,1.63
939.0,0.0,1.64
939.0,0.0,1.65
939.0,0.0,1.66
939.0,0.0,1.67
936.0,0.0,1.68
936.0,0.0,1.69
936.0,0.0,1.7
936.0,0.0,1.71
936.0,0.0,1.72
935.0,0.0,1.73
935.0,0.0,1.74
932.0,0.0,1.75
932.0,0.0,1.76
930.0,0.0,1.77
930.0,0.0,1.78
930.0,0.0,1.79
929.0,0.0,1.8
929.0,0.0,1.81
929.0,0.0,1.82
929.0,0.0,1.83
927.0,0.0,1.84
927.0,0.0,1.85
927.0,0.0,1.86
926.0,0.0,1.87
926.0,0.0,1.88
923.0,0.0,1.89
923.0,0.0,1.9
923.0,0.0,1.91
923.0,0.0,1.92
923.0,0.0,1.93
893.0,258.0,1.94
893.0,258.0,1.95
960.0,617.0,1.96
960.0,617.0,1.97
960.0,617.0,1.98
953.0,614.0,1.99
947.0,588.0,2.0
947.0,588.0,2.01
951.0,569.0,2.02
951.0,569.0,2.03
951.0,569.0,2.04
951.0,567.0,2.05
951.0,567.0,2.06
951.0,567.0,2.07
951.0,567.0,2.08
951.0,561.0,2.09
951.0,561.0,2.1
951.0,561.0,2.11
951.0,554.0,2.12
951.0,554.0,2.13
951.0,554.0,2.14
951.0,548.0,2.15
951.0,548.0,2.16
951.0,548.0,2.17
951.0,545.0,2.18
951.0,545.0,2.19
951.0,545.0,2.2
951.0,545.0,2.21
951.0,543.0,2.22
951.0,543.0,2.23
951.0,543.0,2.24
951.0,543.0,2.25
951.0,543.0,2.26
951.0,543.0,2.27
951.0,543.0,2.28
951.0,545.0,2.29
951.0,545.0,2.3
951.0,545.0,2.31
951.0,545.0,2.32
951.0,548.0,2.33
951.0,548.0,2.34
951.0,548.0,2.35
951.0,548.0,2.36
951.0,552.0,2.37
951.0,552.0,2.38
951.0,552.0,2.39
953.0,555.0,2.4
953.0,555.0,2.41
953.0,555.0,2.42
953.0,555.0,2.43
959.0,560.0,2.44
959.0,560.0,2.45
972.0,569.0,2.46
972.0,569.0,2.47
972.0,569.0,2.48
987.0,576.0,2.49
987.0,576.0,2.5
987.0,576.0,2.51
987.0,576.0,2.52
987.0,576.0,2.53
1001.0,584.0,2.54
1001.0,584.0,2.55
1001.0,584.0,2.56
1016.0,593.0,2.57
1016.0,593.0,2.58
1031.0,603.0,2.59
1031.0,603.0,2.6
1031.0,603.0,2.61
1044.0,614.0,2.62
1044.0,614.0,2.63
1044.0,614.0,2.64
1056.0,623.0,2.65
1056.0,623.0,2.66
1056.0,623.0,2.67
1070.0,632.0,2.68
1070.0,632.0,2.69
1070.0,632.0,2.7
1070.0,632.0,2.71
1082.0,638.0,2.72
1082.0,638.0,2.73
1082.0,638.0,2.74
1092.0,644.0,2.75
1092.0,644.0,2.76
1092.0,644.0,2.77
1103.0,650.0,2.78
1103.0,650.0,2.79
1103.0,650.0,2.8
1103.0,650.0,2.81
1112.0,654.0,2.82
1112.0,654.0,2.83
1112.0,654.0,2.84
1119.0,659.0,2.85
1119.0,659.0,2.86
1119.0,659.0,2.87
1124.0,662.0,2.88
1124.0,662.0,2.89
1124.0,662.0,2.9
1125.0,663.0,2.91
1125.0,663.0,2.92
1125.0,663.0,2.93
1125.0,663.0,2.94
1125.0,663.0,2.95
1125.0,663.0,2.96
1125.0,663.0,2.97
1125.0,663.0,2.98
1125.0,663.0,2.99
1124.0,660.0,3.0
1124.0,660.0,3.01
1124.0,660.0,3.02
1122.0,659.0,3.03
1122.0,659.0,3.04
1122.0,659.0,3.05
1119.0,656.0,3.06
1119.0,656.0,3.07
1119.0,656.0,3.08
1115.0,651.0,3.09
1115.0,651.0,3.1
1115.0,651.0,3.11
1109.0,644.0,3.12
1109.0,644.0,3.13
1109.0,644.0,3.14
1109.0,644.0,3.15
1101.0,636.0,3.16
1101.0,636.0,3.17
1101.0,636.0,3.18
1094.0,627.0,3.19
1094.0,627.0,3.2
1086.0,618.0,3.21
1086.0,618.0,3.22
1086.0,618.0,3.23
1086.0,618.0,3.24
1076.0,606.0,3.25
1076.0,606.0,3.26
1076.0,606.0,3.27
1067.0,596.0,3.28
1067.0,596.0,3.29
1067.0,596.0,3.3
1059.0,585.0,3.31
1059.0,585.0,3.32
1059.0,585.0,3.33
1052.0,575.0,3.34
1052.0,575.0,3.35
1052.0,575.0,3.36
1046.0,567.0,3.37
1046.0,567.0,3.38
1046.0,567.0,3.39
1046.0,567.0,3.4
1041.0,560.0,3.41
1041.0,560.0,3.42
1041.0,560.0,3.43
1038.0,554.0,3.44
1038.0,554.0,3.45
1038.0,554.0,3.46
1035.0,548.0,3.47
1035.0,548.0,3.48
1035.0,548.0,3.49
1035.0,548.0,3.5
1032.0,542.0,3.51
1032.0,542.0,3.52
1032.0,542.0,3.53
1031.0,536.0,3.54
1031.0,536.0,3.55
1031.0,536.0,3.56
1029.0,531.0,3.57
1029.0,531.0,3.58
1029.0,531.0,3.59
1028.0,525.0,3.6
1028.0,525.0,3.61
1028.0,525.0,3.62
1026.0,519.0,3.63
1026.0,519.0,3.64
1026.0,519.0,3.65
1026.0,513.0,3.66
1026.0,513.0,3.67
1026.0,513.0,3.68
1025.0,509.0,3.69
1025.0,509.0,3.7
1025.0,509.0,3.71
1022.0,504.0,3.72
1022.0,504.0,3.73
1022.0,504.0,3.74
1022.0,504.0,3.75
1022.0,504.0,3.76
1016.0,500.0,3.77
1016.0,500.0,3.78
1016.0,500.0,3.79
1010.0,497.0,3.8
1010.0,497.0,3.81
1004.0,492.0,3.82
1004.0,492.0,3.83
1004.0,492.0,3.84
1004.0,492.0,3.85
1004.0,492.0,3.86
998.0,488.0,3.87
998.0,488.0,3.88
992.0,483.0,3.89
992.0,483.0,3.9
992.0,483.0,3.91
987.0,479.0,3.92
987.0,479.0,3.93
987.0,479.0,3.94
983.0,476.0,3.95
983.0,476.0,3.96
983.0,476.0,3.97
978.0,473.0,3.98
978.0,473.0,3.99
